ID,問題,難易度,解答,別答,意味,同音異義語用
I1211,植木屋の【セリ】分け,◆３,糶,,"👉うえきやのせりわけ。
気が多い。「木」を「気」にかけたしゃれ。〈故事俗信ことわざ大辞典〉
★「糶分け」は、植木の整理をすること。
＊不明",セリ
I1212,水鳥【クガ】に惑う,◆３,陸,,"👉みずとりくがにまどう。
勝手が違ってまごまごするたとえ。〈故事俗信ことわざ大辞典〉
★「陸」は、陸地。
＊『源氏-玉鬘』",クガ
I1213,于公【モンリョ】を高大にす,◆３,門閭,,"👉うこうもんりょをこうだいにす。
陰徳を行なう者は、その子孫が栄える。〈故事俗信ことわざ大辞典〉
★于公は漢の宰相于定国の父で、長く裁判官をつとめており、彼の裁判はいつも公平だった。ある日彼の家の門がこわされたとき、修理してくれた村人に次のようにいった。「門を高く大きくして、四頭だての高い屋根の馬車がはいれるようにしなさい。私は裁判において陰徳を多く積んでおり、まだ一度も人に無実の罪をきせたことはないので、子孫には必ず家を興す者がでるだろうから」と。はたしてその子定国が宰相になったという故事による。
＊『漢書-于定国伝』",モンリョ
I1214,内に怨女無く、外に【コウフ】無し,◆３,曠夫,昿夫,"👉うちにえんじょなく、そとにこうふなし。
。男女がそれぞれ平安に一夫一婦の夫婦生活を営むこと。〈故事俗信ことわざ大辞典〉
★「曠夫」は、妻のない男。
★男女がそれぞれ相手を得て、一人身を嘆く女も、一人身をかこつ男もない意。
＊『孟子-梁恵王･下』",コウフ
I1215,生まるる子の【エナ】に親の定紋,◆３,胞衣,,"👉うまるるこのえなにおやのじょうもん。
生まれつき備わっている子の格式。〈故事俗信ことわざ大辞典〉
★胎児を包んでいる膜に親の紋が付いているという俗説による。
＊『随筆･近世江都著聞集-五』",エナ
I1216,【エンチョウ】悲歌の士,◆３,燕趙,,"👉えんちょうひかのし。
国を憂え、慷慨する人。〈故事俗信ことわざ大辞典〉
★中国の春秋戦国時代、燕･趙の両国には憂国の士が多くいたところからいう。
＊『江淹-詣建平王上書』",エンチョウ
I1217,王臣【ケンケン】躬の故にあらず,◆３,蹇蹇,,"👉おうしんけんけんみのゆえにあらず。
臣下が、わが身の利害を忘れて、君王に忠義を尽くすこと。また、そのようでなければならないという理念をいう。〈故事俗信ことわざ大辞典〉
★「蹇蹇」は、忠義を尽くすさま。
＊『易経-蹇卦』",ケンケン
I1218,王良車に登れば馬に【ヒド】無し,◆３,罷駑,,"👉おうりょうくるまにのぼればうまにひどなし。
明君が国を治めると人民が立派になってよく治まるというたとえ。〈故事俗信ことわざ大辞典〉
★王良が馬を御すときには、疲れた馬でも、のろい馬でもよく走ることから。
＊『論衡-率性』",ヒド
I1219,【オオヌサ】の引く手あまた,◆３,大幣,大帛,"👉おおぬさのひくてあまた。
多数の人々から親しく交際を求められること。〈故事俗信ことわざ大辞典〉
★「大幣」は、祓(ﾊﾗ)えの式に用いる、榊(ｻｶｷ)や大串につけた幣帛(ﾍｲﾊｸ)。
★式後、参列の人々がこれを引き寄せて身をなで、罪やけがれをそれに移したことからいう。
＊『古今-恋四･七〇六』",オオヌサ
I1220,初手はちょろちょろ中かっか末は【オキビ】,◆３,熾火,燠火,"👉しょてはちょろちょろなかかっかすえはおきび。
飯をたくときの初めから終わりまでの火加減をいうことば。〈故事俗信ことわざ大辞典〉
★「熾火･燠火」は、木の燃えた赤い炭。
★はじめは弱く、途中で激しく燃やし、最後は余熱でむらすようにせよ。
＊『譬喩尽-一』",オキビ
I1221,山の神に【オコゼ】,◆３,鰧,虎魚,"👉やまのかみにおこぜ。
好物を見て喜ぶさまのたとえ。〈故事俗信ことわざ大辞典〉
★山の神は鰧が大好物であるという。
＊『俳諧･毛吹草-二』",オコゼ
I1222,釈迦が【ゲンゾク】してきても,◆３,還俗,,"👉しゃかがげんぞくしてきても。
たとえどのようなことがあろうとも。〈故事俗信ことわざ大辞典〉
★「還俗」は、出家した僧や尼が、再び世俗の人間にかえること。
★釈迦が俗人にもどるような、あり得ないことが起こったとしてもという意。
＊『人情本･貞操園の朝顔-初･四回』",ゲンゾク
I1223,女郎の千枚【ギショウ】,◆３,起請,,"👉じょろうのせんまいぎしょう。
女郎が、金にさえなれば何人の客にでも起請を書くこと。また、一般に信用できないことのたとえ。〈故事俗信ことわざ大辞典〉
★「起請」は、愛情の変わらないことを誓った誓約書。
＊『諺語大辞典』",ギショウ
I1224,【オボコ】の臍,◆３,未通女,,"👉おぼこのへそ。
非常に気の小さいことのたとえ。〈故事俗信ことわざ大辞典〉
★「未通女」は、うぶな男や生娘(ｷﾑｽﾒ)。
＊『洒落本･龍虎問答』",オボコ
I1225,【カネ】を付ける,◆３,鉄漿,,"👉かねをつける。
1.お歯黒をつける。
2.栗の実や蚕豆(ｿﾗﾏﾒ)が成熟して黒くなる。
3.土蔵の中の品をぬすむ。また、土蔵に黒い腰板をはる。盗人仲間の隠語。〈故事俗信ことわざ大辞典〉
★「鉄漿」は、お歯黒のこと。
＊『平家-九･忠度最期』",カネ
I1226,【ガ】を枉ぐ,◆３,駕,,"👉がをまぐ。
貴人がわざわざ訪れる。来訪することをいう尊敬語。〈故事俗信ことわざ大辞典〉
★「駕」は、乗り物。
★乗り物を道中からまげる意。
＊『蜀志-諸葛亮伝』",ガ
I1227,【ガイカン】事定まる,◆３,蓋棺,葢棺,"👉がいかんことさだまる。
生きている間には公平な判断はできない。〈故事俗信ことわざ大辞典〉
★「蓋棺」は、人の死の意。
★生前の真価は死後になって定まる意。
＊『諺語大辞典』",ガイカン
I1228,【シュウシ】の化,◆３,螽斯,,"👉しゅうしのか。
夫婦が和合して子供を多く作り、子孫が繁栄することのたとえ。〈故事俗信ことわざ大辞典〉
★「螽斯」は、イナゴ。
★イナゴは一度に九九匹というたくさんの子を産むとされるところからいう。
＊『太平記-一･儲王御事』",シュウシ
I1229,【カカツ】の親,◆３,瓜葛,,"👉かかつのしん。
親類の縁が広がりつながること。〈故事俗信ことわざ大辞典〉
★瓜(ｳﾘ)や葛(ｸｽﾞ)のつるが伸びてからまるさまから。
＊『晉書-王導伝』",カカツ
I1230,天津橋上【トケン】の声を聞く,◆３,杜鵑,,"👉てんしんきょうじょうとけんのこえをきく。
邵康節(ｼｮｳｺｳｾﾂ)が洛陽の天津橋上でホトトギスの声を聞き、地気(精気)が南に移り、天下の乱れることを予知した故事。〈中国古典名言事典〉
＊『邵氏聞見録』",トケン
I1231,【カク】、脹満医者いらず,◆３,膈,,"👉かく、ちょうまんいしゃいらず。
膈や脹満になったら医者を呼んでもしかたがない。〈故事俗信ことわざ大辞典〉
★「脹満」は、腹にガスなどがたまって異常にふくれる病気。
＊『対馬南部方言集』",カク
I1232,【カズキ】着た御居処はつめられず,◆３,被衣,,"👉かずききたおいどはつめられず。
相手が上品だと、へたな手出しをすることができない。〈故事俗信ことわざ大辞典〉
★「被衣」は、平安時代以降、身分の高い女性が外出のとき人目を避けるために頭からかぶった薄い衣。きぬかずき。
★かずきを着て歩いているような貴婦人のお尻はつねるわけにはいかない意。
＊『譬喩尽-二』",カズキ
I1233,風【ショウショウ】として易水寒し,◆３,蕭蕭,,"👉かぜしょうしょうとしてえきすいさむし。
風はものさびしく吹き、易水の流れは冷たい。〈故事俗信ことわざ大辞典〉
★荊軻(ｹｲｶ)が秦の始皇帝を刺すために出発する時、易水(中国、河北省の川)で見送りの人と別れるにあたって決死の覚悟をうたった詩の一節。
＊『史記-刺客伝･荊軻』",ショウショウ
I1234,三界の火宅、【シク】の露地,◆３,四衢,,"👉さんがいのかたく、しくのろじ。
苦しみの絶えない人間界と、それを離れたやすらかで静寂な世界。〈故事俗信ことわざ大辞典〉
★「火宅」は、現世。娑婆(ｼｬﾊﾞ)。悩み･苦しみに満ちたこの世を、火事で燃える家にたとえた語。
★「四衢」は、四つ辻。
★「露地」は、俗界を離れた静かな境地。
＊『法華経-譬喩品』",シク
I1235,【カツ】え坊主が斎に会ったよう,◆３,餓,,"👉かつえぼうずがときにあったよう。
がつがつして食べることをいう。〈故事俗信ことわざ大辞典〉
★貧しくてひもじい思いをしている僧が、檀家で食事を出された時のさまから。
＊『日本俚諺大全』",カツ
I1236,紙屋の【ホウグ】でしわくたじゃ,◆３,反古,反故,"👉かみやのほうぐでしわくたじゃ。
着物などがしわくちゃになったとき、また、人の顔が皺だらけである時などに言うしゃれ。〈故事俗信ことわざ大辞典〉
★「反古」は、不用の紙。むだ紙。ほご。
★しわくちゃである意。
＊不明",ホウグ
I1237,【カユ】相揜（おお）わず,◆３,瑕瑜,,"👉かゆあいおおわず。
長所と欠点をともにあらわして、隠さないことのたとえ。〈故事俗信ことわざ大辞典〉
★「瑕」は、玉の傷。
★「瑜」は、玉の美しい光。
★玉は、一部分の傷によって全体の光を隠してしまうということがなく、また、光も美しい光そのままに傷の存在を隠さない意。
＊『礼記-聘義』",カユ
I1238,【カン】を掛く,◆３,冠,,"👉かんをかく。
辞職する。〈故事俗信ことわざ大辞典〉
★冠は官吏の用いるべきもので、冠を解いて物に掛ける意。
＊『後漢書-逸民伝･逢萌』",カン
I1239,【カンケン】を叙す,◆３,寒暄,,"👉かんけんをじょす。
時候の挨拶をする。〈日本国語大辞典〉
★「寒暄」は、さむさとあたたかさ。
＊『空華日用工夫略集-嘉慶二年･二月二六日』",カンケン
I1240,【カンショウ】病みの汚いもの知らず,◆３,癇性,癇症,"👉かんしょうやみのきたないものしらず。
病的に潔癖な人は、かえって普通人以上のきたないことをして気がつかないでいる。〈故事俗信ことわざ大辞典〉
＊『日本俚諺大全』",カンショウ
I1241,【カンセン】枯木を抱く,◆３,寒蟬,寒蝉,"👉かんせんこぼくをいだく。
その場を離れようとしないことのたとえ。〈故事俗信ことわざ大辞典〉
★「寒蟬」は、秋に鳴くセミ。ヒグラシなど。
★秋の蝉は枯れ木にしがみついて、死ぬまで離れようとしない意。
＊『大観本謡曲･俊寛』",カンセン
I1242,【カンゼン】氷釈する,◆３,渙然,,"👉かんぜんひょうしゃくする。
氷がとけるように疑問や迷いなどが解ける。〈故事俗信ことわざ大辞典〉
★「渙然」は、疑問などが解けるさま。
★光り輝く意である「煥然」と、書き誤らないこと。
＊『杜預文-春秋左氏伝序』",カンゼン
I1243,【カントウ】の愛,◆３,甘棠,,"👉かんとうのあい。
人民が為政者の徳を慕って寄せる情のたとえ。〈故事俗信ことわざ大辞典〉
★「甘棠」は、リンゴと同属の木。コリンゴ、ヒメカイドウなどとも呼ばれる。
★中国、周の召公が地方を巡行したとき、ある里では甘棠の木の下で人々の訴えを聞き、裁判を行なった。里の人々はその時の召公の徳を慕って、のちのちまでそのゆかりの木を大切にしたという故事による。
＊『史記-燕召公世家』",カントウ
I1244,【カンバセ】を犯す,◆３,顔,,"👉かんばせをおかす。
目上の人に、あえて自分の考えを言う。面(ｵﾓﾃ)を犯す。〈故事俗信ことわざ大辞典〉
＊『駿台雑話-三･杉田壱岐』",カンバセ
I1245,鞿（き）を以て【カントツ】を御す,◆３,駻突,,"👉きをもってかんとつをぎょす。
軽い、おだやかな刑罰によって悪人の行動をおさえようとすることのたとえ。〈故事俗信ことわざ大辞典〉
★「駻突」は、荒馬。
★おもがいだけで荒馬を思う通りに動かそうとする意。
＊『漢書-刑法志』",カントツ
I1246,【キカク】の思い,◆３,亀鶴,,"👉きかくのおもい。
不老長寿の願い。長生きの望み。〈故事俗信ことわざ大辞典〉
★鶴は千年、亀は万年の長寿を保つといわれるところからいう。
＊『洒落本･狐竇這入-一』",キカク
I1247,【キカン】の禍,◆３,鬼瞰,,"👉きかんのわざわい。
鬼神が、あまりに満ち足りおごっている家に罰として下すわざわい。〈故事俗信ことわざ大辞典〉
★「瞰」は、上から見おろすこと。
＊『揚雄-解嘲文』",キカン
I1248,【キガン】友を偲ぶ,◆３,帰雁,帰鴈,"👉きがんともをしのぶ。
春になって、雁が群れをなし、連なり飛んで行くのを見て、遠くにいる友をしのび、なつかしく思う。〈故事俗信ことわざ大辞典〉
＊『大観本謡曲･檀風』",キガン
I1249,菊を【トウリ】の下に采り、悠然として南山を見る,◆３,東籬,,"👉きくをとうりのもとにとり、ゆうぜんとしてなんざんをみる。
菊を東の垣根の下に折り取り、ゆったりとした気持ちで南方に見える山を眺め見る。貧に安んじ、心にもの思うこともなく、自然を楽しんで生きる日常生活の心境。陶潜の詩の一節。〈故事俗信ことわざ大辞典〉
＊『陶潜-飲酒詩･其五』",トウリ
I1250,【キシ】連抱にして数尺の朽あるも良工は棄てず,◆３,杞梓,,"👉きしれんぽうにしてすうせきのきゅうあるもりょうこうはすてず。
その人の長所を生かして使うのが人材を生かす道だというたとえ。〈故事俗信ことわざ大辞典〉
★「杞」は、カワヤナギの木。
★「梓」は、アズサの木。
★杞や梓のような良材の、いくかかえもあるような大木に、数尺の腐食が入っていようとも、良い職人は捨てずに使うものだという意。
＊『孔叢子-居衛』",キシ
I1251,柄の無い所に柄を【ス】げる,◆３,挿,,"👉えのないところにえをすげる。
無理に理屈をこねる。さまざまな口実を設ける。〈故事俗信ことわざ大辞典〉
＊『歌舞伎･黄門記童幼講釈-三幕』",ス
I1252,【キハダ】を嘗めた啞（おし）のよう,◆３,黄檗,"黄蘗
檗
蘗","👉きはだをなめたおしのよう。
口のきけない人が黄蘗を嘗めてもその苦さを口で表現することができないように、遭遇した艱難辛苦を他人にうまく表現できない。思いがけず苦い目にあった人の表情などをたとえていう。〈故事俗信ことわざ大辞典〉
★「黄檗･檗」は、ミカン科の落葉高木で、この樹皮は健胃整腸の漢方薬となり、極めて苦い。
＊『諺語大辞典』",キハダ
I1253,箕売り笠にて【ヒ】る,◆３,簸,,"👉みうりかさにてひる。
箕を売る人が、自分では箕を使わず、笠で代用する。〈故事俗信ことわざ大辞典〉
★「箕売り」は、箕を売る人。
★「簸る」は、箕で穀物などをふるってくずなどを除くこと。
＊『俳諧･毛吹草-二』",ヒ
I1254,【ギュウシュウ】馬勃敗鼓の皮,◆３,牛溲,,"👉ぎゅうしゅうばぼつはいこのかわ。
価値の無いもの、役に立たないもののたとえ。〈故事俗信ことわざ大辞典〉
★「牛溲」は、牛の小便。
★「馬勃」は、馬の糞。
★「敗鼓」は、破れた太鼓。
＊『韓愈-進学解』",ギュウシュウ
I1255,【キョウテイ】に秘す,◆３,筐底,"筺底
篋底","👉きょうていにひす。
人に見られないように、箱の奥深くしまっておく。〈故事俗信ことわざ大辞典〉
★「筐底･篋底」は、はこの底。はこの中。
＊『花間鶯〈末広鉄腸〉中･自序』",キョウテイ
I1256,【ギョロ】を弁ぜず,◆３,魚魯,,"👉ぎょろをべんぜず。
字の形が似ていて区別がしにくいこと。また、その違いがわからないこと。〈故事俗信ことわざ大辞典〉
＊『譬喩尽-六』",ギョロ
I1257,轆轤首が【キラズ】を食う,◆３,雪花菜,,"👉ろくろくびがきらずをくう。
すぐ詰まることのたとえ。〈故事俗信ことわざ大辞典〉
★「雪花菜」は、おから。
★のどに詰まりやすいおからを首の長い轆轤首が食う意。
＊『洒落本･愚人贅漢居続借金』",キラズ
I1258,【キン】を懐き瑜を握る,◆３,瑾,,"👉きんをいだきゆをにぎる。
内に高徳をもっている人のたとえ。〈故事俗信ことわざ大辞典〉
★「瑾」も「瑜」も美しい宝玉。
★美しい宝玉をふところに入れ、また手に握り持っている。
＊『楚辞-九章･懐沙』",キン
I1259,瑾を懐き【ユ】を握る,◆３,瑜,,"👉きんをいだきゆをにぎる。
内に高徳をもっている人のたとえ。〈故事俗信ことわざ大辞典〉
★「瑾」も「瑜」も美しい宝玉。
★美しい宝玉をふところに入れ、また手に握り持っている。
＊『楚辞-九章･懐沙』",ユ
I1260,【キンラン】着るか薦着るか,◆３,金襴,,"👉きんらんきるかこもきるか。
成功して金襴の衣を着る立派な身分になるか、または乞食となってこもを着るか。〈故事俗信ことわざ大辞典〉
＊『五島民俗図誌』",キンラン
I1261,口吸うと【シュモツ】にいえば耳立たず,◆３,腫物,,"👉くちすうとしゅもつにいえばみみたたず。
膏薬(ｺｳﾔｸ)で腫れ物の膿(ｳﾐ)を吸い出すのも、傷の口を吸う(接吻する)といえば聞こえがよい。〈故事俗信ことわざ大辞典〉
★「腫物」は、「腫れ物」に同じ。
＊『譬喩尽-四』",シュモツ
I1262,【グリ】を舞う,◆３,屈輪,,"👉ぐりをまう。
屈輪の連続した渦巻き文様のように、あれこれ考えても、考えがまとまらないで、あわてることのたとえ。〈故事俗信ことわざ大辞典〉
★「屈輪」は、文様の一種。渦巻き文様を連続させたもので、寺院の建築などに用いる。
＊『洒落本･魂胆惣勘定-上』",グリ
I1263,群玉【ヨウダイ】の仙境,◆３,瑶台,瑤台,"👉ぐんぎょくようだいのせんきょう。
西王母(ｾｲｵｳﾎﾞ)が住むという珠玉で飾りたてた宮殿。〈故事俗信ことわざ大辞典〉
★「群玉」は、多くの宝石。
★「瑶台」は、珠玉で飾りたてた高殿。
★「仙境」は、仙人の住むという土地。
＊『随筆･吉原大全-三』",ヨウダイ
I1264,鶏鳴に起き【ジジ】として善をなす,◆３,孳孳,,"👉けいめいにおきじじとしてぜんをなす。
早起きをして、一所懸命励んでよい行ないをする。〈故事俗信ことわざ大辞典〉
★「孳孳」は、努力して励むさま。
＊『孟子-尽心･上』",ジジ
I1265,【ケイヨウ】は少なきを以て貴なりとし、石礫は多きを以て賤しとす,◆３,瓊瑶,瓊瑤,"👉けいようはすくなきをもってきなりとし、せきれきはおおきをもっていやしとす。
数少ないものが尊ばれることのたとえ。〈故事俗信ことわざ大辞典〉
★「瓊瑶」は、美しい玉、美麗な宝玉。
★美しい玉は数が少ないために尊重され、石ころはいくらでもあるから大切にされない。
＊『明文抄-三･人事上』",ケイヨウ
I1266,瓊瑶は少なきを以て貴なりとし、【セキレキ】は多きを以て賤しとす,◆３,石礫,,"👉けいようはすくなきをもってきなりとし、せきれきはおおきをもっていやしとす。
数少ないものが尊ばれることのたとえ。〈故事俗信ことわざ大辞典〉
★「瓊瑶」は、美しい玉、美麗な宝玉。
★美しい玉は数が少ないために尊重され、石ころはいくらでもあるから大切にされない。
＊『明文抄-三･人事上』",セキレキ
I1267,【ケイリン】の一枝、崑山の片玉,◆３,桂林,,"👉けいりんのいっし、こんざんのへんぎょく。
少しばかりの出世のたとえ。出世したことを謙遜していう語。また、科挙(ｶｷｮ:官吏の登用試験)に合格したことを謙遜していうことば。転じて、容易に得がたい人物や物事。また、高潔で世俗を抜け出ている人物のたとえ。〈新明解故事ことわざ辞典〉
★「桂林」は、桂の木犀(ﾓｸｾｲ)など香りのよい木の総称。芳香樹の林。
★「崑山」は、中国の想像上の山で崑崙山(ｺﾝﾛﾝｻﾞﾝ)。宝玉の産地とされる。
＊『晉書-郤詵伝』",ケイリン
I1268,下衆無い【ジョウロウ】は成らず,◆３,上﨟,上臈,"👉げすないじょうろうはならず。
すべてこの世は身分の上下貴賤があってはじめて成り立つものだ。〈故事俗信ことわざ大辞典〉
★下賤な身分の者の働きがなくては、高貴な身分の者の生活も成り立っていかないという意。
＊『俳諧･毛吹草-二』",ジョウロウ
I1269,【ケツ】を助けて虐を為す,◆３,桀,,"👉けつをたすけてぎゃくをなす。
悪人と結んで悪事をはたらく。〈故事俗信ことわざ大辞典〉
＊『史記-留侯世家』",ケツ
I1270,【ケラ】の子は卵から頷く,◆３,啄木鳥,,"👉けらのこはたまごからうなずく。
生まれながらにして、将来を思わせる才能があることのたとえ。啄木鳥の子は卵から頷く。〈故事俗信ことわざ大辞典〉
＊不明",ケラ
I1271,【ケラツツキ】の子は卵から頷く,◆３,啄木鳥,,"👉けらつつきのこはたまごからうなずく。
生まれながらにして、将来を思わせる才能があることのたとえ。啄木鳥の子は卵から頷く。〈故事俗信ことわざ大辞典〉
＊『俳諧･世話尽-曳言之話』",ケラツツキ
I1272,【フケイ】短しといえども之をつがば則ち憂えん,◆３,鳧脛,鳬脛,"👉ふけいみじかしといえどもこれをつがばすなわちうれえん。
物には、それぞれにふさわしい自然の特徴があるから、いたずらに手を加えたりしないで自然のままに従うのがよいということ。〈漢字ペディア〉
★「鳧脛」は、カモの脛(ﾊｷﾞ)の意。
★カモの脚は短いけれど、これをつぎ足してのばしてやれば、カモは嫌がる意。
＊『荘子-駢拇』",フケイ
I1273,【ゴゼ】の日高に着いたよう,◆３,瞽女,,"👉ごぜのひだかについたよう。
遅くなるはずなのに、意外に早く到着することのたとえ。〈故事俗信ことわざ大辞典〉
★旅をする瞽女がまだ日の高いうちに宿に着いたようだという意。
＊『雑俳･鶯宿梅-もじり附』",ゴゼ
I1274,【コ】ならず聾ならざれば公たる能わず,◆３,瞽,,"👉こならずろうならざればこうたるあたわず。
ささいな見聞にこだわるようでは、人を治める立場にはなれない。〈故事俗信ことわざ大辞典〉
★「瞽」は、目が見えないこと。
★「聾」は、耳がきこえないこと。
★「公」は、天子、君主。
＊『諺語大辞典』",コ
I1275,高山【シュンゲン】草木を生ぜず、松柏の地は其の土肥えず,◆３,峻原,,"👉こうざんしゅんげんそうもくをしょうぜず、しょうはくのちはそのつちこえず。
きびしく取り立て、また土木事業などによって国民を休む間もなく働かせれば、その国は弱って滅亡するというたとえ。〈故事俗信ことわざ大辞典〉
★「峻原」は、けわしい高原。
★高い山とけわしい高原には草木が育たず、松や柏のような常緑樹が繁る土地は、一年中葉の陰になって土地が肥えない意。
＊『国語-晉語･九』",シュンゲン
I1276,孔子に【トウセキ】,◆３,盗跖,,"👉こうしにとうせき。
最善のものがあれば、反対に最悪のものがある。〈故事俗信ことわざ大辞典〉
★「盗跖」は、孔子と同じ春秋時代の大泥棒。
＊『浄瑠璃･津戸三郎-一』",トウセキ
I1277,【コウトク】に縊る,◆３,溝瀆,溝涜,"👉こうとくにくびる。
つまらない死に方のたとえ。〈故事俗信ことわざ大辞典〉
★「溝瀆」は、みぞ、どぶ。
★「縊る」は、首をしめて殺す。
★自ら首を締め、みぞに落ちて死ぬ意。
＊『論語-憲問』",コウトク
I1278,【リュウセツ】にして竜顔,◆３,隆準,,"👉りゅうせつにしてりょうがん。
鼻柱が高く通って、顔が竜のようだ。高祖(劉邦(ﾘｭｳﾎｳ))のなみなみでない面相の表現。〈中国古典名言事典〉
★「準」は、鼻柱。
＊『十八史略-西漢･高祖』",リュウセツ
I1279,衡門の下以て【セイチ】すべし,◆３,棲遅,栖遅,"👉こうもんのもともってせいちすべし。
粗末な家でも、住めば心楽しく安らぎの日々を送るにふさわしい。〈故事俗信ことわざ大辞典〉
★「衡門」は、柱に横木をわたしただけの門。
★「棲遅」は、いこい安らぐこと。
＊『詩経-陳風･衡門』",セイチ
I1280,【コウリョウ】の子弟,◆３,膏粱,,"👉こうりょうのしてい。
富貴の家に生まれた者。〈故事俗信ことわざ大辞典〉
★「膏粱」は、肥えた肉とうまい粟(ｱﾜ)。転じて、おいしい食べ物。
★美食をしつけている子弟の意。
＊『天香楼偶得』",コウリョウ
I1281,後家の見せかけ数珠は奥【モミ】,◆３,紅絹,紅,"👉ごけのみせかけじゅずはおくもみ。
後家が、おもてむきは数珠をつまぐりながら亡夫の跡をとむらい、さも殊勝らしくしているけれども、その実、喪服の裏地に扇情的な紅絹をまとっていること。〈故事俗信ことわざ大辞典〉
★「紅絹」は、紅色で無地の絹布。和服の袖裏や胴裏などに使う。
＊『譬喩尽-五』",モミ
I1282,【コケイ】を守る,◆３,孤閨,,"👉こけいをまもる。
夫が死亡したり、または旅行中で長期不在の間など、妻がつつましく家を守って生活すること。〈故事俗信ことわざ大辞典〉
★「孤閨」は、女性のひとり寝の部屋。
＊不明",コケイ
I1283,【コゴ】み女に反り男,◆３,屈,,"👉こごみおんなにそりおとこ。
女はやや前かがみの姿勢が見よく、男は後へやや反った姿勢が見よい。〈故事俗信ことわざ大辞典〉
＊『諺苑』",コゴ
I1284,志合えば胡越も【コンテイ】たり、志合わざれば骨肉も讐敵たり,◆３,昆弟,,"👉こころざしあえばこえつもこんていたり、こころざしあわざればこつにくもしゅうてきたり。
真に人と人とが結ばれるのは地縁でも血縁でもなく、こころざしが一致するかどうかによる。〈故事俗信ことわざ大辞典〉
★「胡越」は、中国で、北方の胡の国と南方の越の国で、互いに疎遠である者のたとえ。
★「昆弟」は、兄弟。
★「讐敵」は、うらみのある敵。
★こころざしが合えば、北方の胡の者も南方の越の者と兄弟のようになれるが、合わなければ肉親も仇敵となる意。
●〈平成29年度･第3回出題,大問㈧,小問４〉
＊『漢書-鄒陽伝』",コンテイ
I1285,【コス】い子身をもたぬ,◆３,狡,,"👉こすいこみをもたぬ。
わるがしこい者は、はじめはうまくやっていても、いつかは失敗して破滅する。〈故事俗信ことわざ大辞典〉
＊『南総の俚俗』",コス
I1286,無功の賞は不義の富禍の【ナカダチ】なり,◆３,媒,,"👉むこうのしょうはふぎのとみわざわいのなかだちなり。
功績のない者に賞を与えるのは、道にはずれた富を与えることであり、わざわいを招くもとになるから、すべきではない。〈故事俗信ことわざ大辞典〉
＊『玉函秘抄-上』",ナカダチ
I1287,【コノテガシワ】の二面,◆３,側柏,児手柏,"👉このてがしわのふたおも。
コノテガシワの葉が表裏いずれとも定めにくいこと。転じて、物事がいずれか定めがたいことのたとえ。〈故事俗信ことわざ大辞典〉
＊『万葉-一六･三八三六』",コノテガシワ
I1288,【コハン】は見易く人斑は見難し,◆３,虎斑,,"👉こはんはみやすくじんぱんはみがたし。
虎の斑点はよく見えるが、人の心の中はそう簡単に見分けることができない。〈故事俗信ことわざ大辞典〉
★「人斑」は、「虎斑」に対して人の心をたとえていったことば。
＊『明暦刊本句双紙』",コハン
I1289,【コビン】が禿げる,◆３,小鬢,,"👉こびんがはげる。
この上なくうまいものを食べた時のさま。頰(ﾎｵ)が落ちるよう。〈故事俗信ことわざ大辞典〉
＊不明",コビン
I1290,【ゴマ】の灰,◆３,護摩,,"👉ごまのはい。
旅人をだまして金品を奪う者。〈漢字ペディア〉
★ただの灰を、ありがたい護摩を焚(ﾀ)いた灰として旅人に高く売りつけた者がいたことから。
＊『評判記･役者舞扇子-京･浅尾十次郎』",ゴマ
I1291,【サライ】の食,◆３,嗟来,,"👉さらいのし。
無礼な態度で与えられる食物のこと。〈漢字ペディア〉
★「嗟」は、発語の助字。
★さあ、来てくらえの意。
＊『礼記-檀弓･下』",サライ
I1292,嗟来の【シ】,◆３,食,,"👉さらいのし。
無礼な態度で与えられる食物のこと。〈漢字ペディア〉
★「嗟」は、発語の助字。
★さあ、来てくらえの意。
＊『礼記-檀弓･下』",シ
I1293,道傍の【クリ】,◆３,苦李,,"👉どうぼうのくり。
人に見向きもされないことのたとえ。〈漢字ペディア〉
★道端に実っている苦いスモモは、だれも取ろうとしないことから。
＊『晉書-王戎伝』",クリ
I1294,之を東隅に失い【ソウユ】に収む,◆３,桑楡,,"👉これをとうぐうにうしないそうゆにおさむ。
初めに失敗したことを、後に回復する。〈故事俗信ことわざ大辞典〉
★「東隅」は、日の出る所。
★「桑楡」は、日の沈む所。
＊『後漢書-馮異伝』",ソウユ
I1295,【コンリョウ】の袖に隠れる,◆３,衮竜,袞竜,"👉こんりょうのそでにかくる。
天子の権威の陰で勝手に振る舞う。〈漢字ペディア〉
★「衮竜」は、竜のぬいとりをした天子の衣服。
＊『虞美人草〈夏目漱石〉六』",コンリョウ
I1296,【サ】を投ぐる間,◆３,梭,,"👉さをなぐるま。
ごく短い時間、または、歳月が早く過ぎることのたとえ。〈故事俗信ことわざ大辞典〉
★「梭」は、機(ﾊﾀ)を手織りするとき、横糸をつけて縦糸の間をすばやく通す器具。
＊『叢書本謡曲･時有』",サ
I1297,【コウコウ】夢に入る,◆３,箜篌,,"👉こうこうゆめにいる。
後来自分の妻となるべき人を夢に見ること。〈中国古典名言事典〉
★「箜篌」は、楽器の名。音調の偕和することから、妻を連想する。
＊『閲微草堂筆記』",コウコウ
