ID,問題,指定,語群,難易度,解答,問題熟語の意味,解答熟語の意味
H0511,【翊賛】,⇔,"せいちゅう
きょしょ
たいへき",◆２,掣肘,"▼【翊賛／翼賛】ヨクサン
┌助けること。補佐すること。〈新大字典〉
┌たすける。〈字通〉
◇漢字ペディア小見出し","▼〔掣肘〕セイチュウ
そばから干渉して自由な活動を妨げること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0512,【蟄竜】,⇔,"とうせい
ほうじ
こしょう",◆２,虎嘯,"▼【蟄竜】チツリョウ
蟄伏している竜。風雲の機を得ないで活躍の機会をじっと待っている英雄をたとえていう。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔虎嘯〕コショウ
1.トラがほえること。
2.英雄･豪傑が活躍するたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0513,【饒舌】,⇔,"かんもく
じょうせき
せいぼく",◆２,緘黙,"▼【饒舌】ジョウゼツ
口数が多いこと。おしゃべり。≒多弁、多言、⇔寡黙〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔緘黙〕カンモク
口を閉じてしゃべらないこと。だまりこむこと。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0514,【鰥夫】,⇔,"そうふ
くうけい
けいかん",◆２,孀婦,"▼【鰥夫／寡男】やもお
妻を亡くした男性。男やもめ。⇔寡婦(ｶﾌ／ﾔﾓﾒ)","▼〔孀婦〕ソウフ
おんなやもめ。未亡人。寡婦。〈日本国語大辞典〉
◇漢字ペディア大見出し"
H0515,【黎明】,⇔,"そうめい
へいたん
らんじゅく",◆２,爛熟,"▼【黎明】レイメイ
1.夜明け。明け方。
2.夜明けにあたる、物事が始まる時期のたとえ。また、新しい時代や文化･芸術などの始まり。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔爛熟〕ランジュク
1.果実などが熟しすぎること。
2.物事が極限まで発達すること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0516,【幫間】,≒,"せいねい
きょうたい
こうかく",◆２,狎客,"▼【幫間】たいこもち
1.宴席などに出て客の機嫌をとり、座をにぎわすことを職業とする男性。
2.人の機嫌をとって、うまく世渡りする人。人にへつらい、機嫌をとるのに懸命な人。","▼〔狎客〕コウカク
1.なじみの客。昔から親しくしている人。
2.たいこもち。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0517,【顚蹶】,≒,"しゅんけん
けっこう
さた",◆２,蹉跎,"▼【顚蹶／転蹶】テンケツ
┌1.つまずきたおれる。
└2.困難にあって苦しむ。〈漢字源〉
┌つまずき倒れること。また、失敗すること。≒転蹶〈大辞林〉
┌つまずき倒れること。ころぶこと。転じて、失敗すること。挫折すること。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔蹉跎〕サタ／サダ
1.つまずいて転ぶさま。
2.ぐずぐずして時機を失うこと。
3.不遇なこと。落ちぶれること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0518,【蟬鬢】,≒,"すいかん
ほうはつ
じっけい",◆２,翠鬟,"▼【蟬鬢】センビン
蝉の羽のように透き通って見える鬢。美しい鬢、特に女の美しい髪のたとえ。また、転じて、美人。美女。蝉髪。〈日本国語大辞典〉","▼〔翠鬟〕スイカン
1.みどりの黒髪。美しい髪のさまに言う語。
2.山の青々としたさま。万緑の山。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0519,【勖厲】,≒,"けんろ
びんべん
びんめつ",◆２,"黽勉
黽俛","▼【勖厲】キョクレイ
精を出して努めはげむこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔黽勉／黽俛〕ビンベン
つとめ励むこと。精を出すこと。≒勉励〈漢字ペディア〉
◇漢字ペディア大見出し"
H0520,【葵向】,≒,"ちょうとん
せんぎょう
しんちゅう",◆２,瞻仰,"▼【葵向】キコウ
葵(ｱｵｲ)の花が、日の光のほうに向くこと。転じて、君主や目上の人の徳を、あおぎ慕うこと。≒葵傾(ｷｹｲ)、葵傾向日〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔瞻仰〕センギョウ／センゴウ
1.仰ぎ見ること。見上げること。
2.仰ぎ尊ぶこと。慕い敬うこと。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0521,【粟粒】,≒,"かいたい
へんじゅ
こんじ",◆２,"芥蔕
芥蒂","▼【粟粒】ゾクリュウ／あわつぶ
アワの実。また、ごく小さいもののたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔芥蔕〕カイタイ
1.とてもわずかなこと。
2.ほんのすこしのわだかまり。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0522,【暗翳】,≒,"めいじょう
うっこ
ようげつ",◆２,"妖孼
妖孽","▼【暗翳／暗影】アンエイ
1.暗いかげ。
2.比喩的に、不安、不吉などのしるし。暗雲。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔妖孼〕ヨウゲツ
┌あやしいわざわい。また、わざわいをもたらす不気味な前兆。〈漢字ペディア〉
┌あやしいわざわい。災厄をもたらす前兆。不吉な事件の前ぶれ。夭逆(ﾖｳｹﾞｷ)。〈日本国語大辞典〉
◇漢字ペディア大見出し"
H0523,【易断】,≒,"ちゅうせん
ぼくぜい
きけい",◆２,卜筮,"▼【易断】エキダン
易によって運勢･吉凶などを判断すること。占い。〈大辞泉〉
◇漢字ペディア小見出し","▼〔卜筮〕ボクゼイ
うらない。〈漢字ペディア〉
★卜は亀甲(ｷｯｺｳ)、筮は筮竹(ｾﾞｲﾁｸ)を用いてうらなうこと。
◇漢字ペディア大見出し"
H0524,【萎靡】,≒,"けんとう
えんたく
ここう",◆２,枯槁,"▼【萎靡】イビ
なえてしおれること。元気がなくなること。≒萎縮〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔枯槁〕ココウ
1.草木の水気がなくなり干からびること。
2.やせおとろえること。また、おちぶれること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0525,【衣鉢】,≒,"げんとう
すいほう
うんおう",◆２,蘊奥,"▼【衣鉢】イハツ／エハツ
1.(仏)師の僧が弟子に与える袈裟(ｹｻ)と托鉢(ﾀｸﾊﾂ)の鉢。転じて宗義。奥義。
2.学問･芸術などで、師が弟子に伝える奥義。〈漢字ペディア〉
★達磨大師が、教えを授けた弟子の慧可(ｴｶ)に、釈迦から伝えられた袈裟を鉢とともに与えた故事から。
◇漢字ペディア大見出し","▼〔蘊奥〕ウンオウ／ウンノウ
学問･知識、また、技芸などの奥深いところ。≒極意、奥義〈漢字ペディア〉
◇漢字ペディア大見出し"
H0526,【烏鷺】,≒,"ようとう
げきしょう
らんか",◆２,爛柯,"▼【烏鷺】ウロ
囲碁の勝負のこと。〈漢字ペディア〉
★黒い烏(ｶﾗｽ)、白い鷺(ｻｷﾞ）をそれぞれ黒と白の碁石に見立てたことから。
◇漢字ペディア大見出し","▼〔爛柯〕ランカ
1.囲碁に興じているうちに時間がたつのを忘れること。また、囲碁の別称。
2.遊びや物事に夢中になって時間を忘れること。
★晋の時、王質というきこりが盛で童子に会い、童子たちの碁を打つのを見て時を忘れ、気がついてみると側に置いた斧の柄(柯)は腐り、帰ってみれば当時の人は誰もいなかったという故事から。
◇漢字ペディア大見出し"
H0527,【叡慮】,≒,"しんちゅう
きゆう
けいがん",◆２,宸衷,"▼【叡慮】エイリョ
天子･天皇の考え･気持ち。天子･天皇の配慮。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔宸衷〕シンチュウ
天子の心。おおみこころ。宸慮。〈大辞林〉
◇漢字ペディア小見出し"
H0528,【怨嗟】,≒,"しふん
けんよ
ちょうこん",◆２,悵恨,"▼【怨嗟】エンサ
うらんでなげき悲しむこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔悵恨〕チョウコン
うらめしく思うこと。残念がること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0529,【艶麗】,≒,"いんか
さんえい
せんけん",◆２,"嬋娟
嬋姸
嬋妍
蟬蜎","▼【艶麗】エンレイ
あでやかで美しいこと。なまめかしいさま。≒艶美〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔嬋娟／嬋姸／蟬蜎〕センケン／センエン
あでやかで美しいさま。なよなよとして美しいさま。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0530,【横鑓】,≒,"ようかい
ほうかん
ようげき",◆２,容喙,"▼【横鑓／横槍／横鎗】よこやり
1.人の話や仕事に関係のない第三者がわきから口を出すこと。≒容喙
2.二人が戦っているとき、別の人が横から槍をつき出すこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔容喙〕ヨウカイ
横合いから口を出すこと。さしでぐち。〈漢字ペディア〉
★「喙」は、くちばし。
◇漢字ペディア大見出し"
H0531,【殴打】,≒,"べっしょ
すいこう
ちょうちゃく",◆２,打擲,"▼【殴打】オウダ
ひどくなぐること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔打擲〕チョウチャク
人を打ちたたくこと。なぐること。≒殴打〈漢字ペディア〉
◇漢字ペディア大見出し"
H0532,【苛酷】,≒,"しれい
ほうはい
しょうこく",◆２,峭刻,"▼【苛酷／苛刻】カコク
思いやりがなく、きびしいこと。むごいようす。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔峭刻〕ショウコク
きびしく残忍なこと。きびしくむごいこと。≒苛酷〈漢字ペディア〉
◇漢字ペディア大見出し"
H0533,【臥内】,≒,"けいぼう
はふ
さんじょく",◆２,閨房,"▼【臥内】ガダイ／ガナイ
┌寝所のなか。ふしど。ねどこ。がない。〈日本国語大辞典〉
┌寝室。寝床。≒臥所(ｶﾞｼｮ)〈漢辞海〉","▼〔閨房〕ケイボウ
1.寝室。特に夫婦の寝所。
2.女性の居る部屋。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0534,【廻漕】,≒,"あいだい
しゅうしゅう
えいかい",◆２,舟楫,"▼【廻漕／回漕】カイソウ
船による荷物の輸送。≒回船、運漕、海運〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔舟楫〕シュウシュウ
1.舟とかじ。転じて舟。
2.舟で荷物を運搬すること。≒舟運〈漢字ペディア〉
◇漢字ペディア大見出し"
H0535,【戒禁】,≒,"へいこ
むがい
きしん",◆２,規箴,"▼【戒禁】カイキン
1.戒め禁ずること。教えさとして、しないように禁止すること。禁戒。
2.仏語。不善を戒め禁ずる戒律、禁制のこと。かいごん。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔規箴〕キシン
いましめること。いさめること。または、そのことば。規諫。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0536,【拐帯】,≒,"かくらん
ゆうとう
へんしゅ",◆２,騙取,"▼【拐帯】カイタイ
1.人をだまして連れ去り、他に売ること。
2.他人から預かった金銭、物品を自分のものとして、それを持ったまま所在をくらますこと。法律で、多く用いられる語。持ち逃げ。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔騙取〕ヘンシュ
だまし取ること。≒詐取〈漢字ペディア〉
◇漢字ペディア大見出し"
H0537,【開帳】,≒,"けんしょう
えんえき
けいがん",◆２,啓龕,"▼【開帳】カイチョウ
1.寺院で、いつもは見せない秘仏などを収めた厨子(ｽﾞｼ)を開いて、参拝者に拝ませること。≒開龕、開扉
2.とばくの座を開くこと。≒開張〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔啓龕〕ケイガン
厨子を開いて、中の仏像を拝ませること。開帳。開龕。〈日本国語大辞典〉
◇漢字ペディア下付き"
H0538,【赫怒】,≒,"ふくそう
きゅうこく
ふんい",◆２,"忿恚
憤恚","▼【赫怒／嚇怒】カクド
かっとなって怒ること。激怒すること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔忿恚／憤恚〕フンイ
いかりいきどおること。憤怒。≒瞋恚〈漢字ペディア〉
◇漢字ペディア大見出し"
H0539,【恰当】,≒,"けいとう
きんこん
がいせつ",◆２,剴切,"▼【恰当】コウトウ
よくあてはまること。ぴったりあたること。〈日本国語大辞典〉","▼〔剴切〕ガイセツ
ぴたりとあうこと。適切なこと。本来は地面すれすれに草を切る意。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0540,【褐寛博】,≒,"せんぎ
すうじょう
ざんさい",◆２,"芻蕘
蒭蕘","▼【褐寛博】カツカンパク
1.粗末なだぶだぶの衣服。
2.身分の低い卑しい人。無頼漢。〈漢字ペディア〉
★「褐」は、粗末な服。「寛博」は、ひろくゆるやかなことの意。
◇漢字ペディア大見出し","▼〔芻蕘〕スウジョウ／スウギョウ
草を刈る人ときこり。転じて、低い身分の人。庶民。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0541,【茅屋】,≒,"へいろ
てんぽう
ゆうこ",◆２,"弊廬
敝廬","▼【茅屋】ボウオク
1.かやでふいた屋根。また、その家。≒茅舎
2.粗末な家。みすぼらしい家。あばらや。
3.自分の家の謙称。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔弊廬／敝廬〕ヘイロ
1.いたんでこわれた家。あばら屋。
2.自分の家を謙遜していう語。≒弊屋、拙宅〈漢字ペディア〉
◇漢字ペディア大見出し"
H0542,【汗顔】,≒,"きたん
しんろう
ちんめん",◆２,愧赧,"▼【汗顔】カンガン
非常に恥ずかしく、顔から汗が出ること。きわめて恥じること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔愧赧〕キタン
深くはじて赤面すること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0543,【閑文字】,≒,"ひょうちょう
しょくげん
ぜいげん",◆２,贅言,"▼【閑文字】カンモジ／カンモンジ
無駄な字句や文章。無益な言葉。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔贅言〕ゼイゲン
無駄な言葉。余計な言葉。また、それを言うこと。≒贅語、冗語〈漢字ペディア〉
◇漢字ペディア大見出し"
H0544,【関鍵】,≒,"おうこ
さやく
きはん",◆２,鎖鑰,"▼【関鍵】カンケン
1.かんぬきとかぎ。
2.門や玄関の戸締まり。
3.物事の大切な部分。要点。急所。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔鎖鑰〕サヤク
1.戸じまり。
2.外敵の侵入を防ぐ要所。要害。〈漢字ペディア〉
★錠前（鎖）とかぎ（鑰）の意から。
◇漢字ペディア大見出し"
H0545,【奇矯】,≒,"ゆうこん
きょうわく
きげき",◆２,詭激,"▼【奇矯】キキョウ
言行が変わっていること。風変わりなこと。また、そのさま。≒奇抜、奇異、突飛〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔詭激〕キゲキ
言行が並はずれてはげしいこと。≒矯激〈漢字ペディア〉
◇漢字ペディア大見出し"
H0546,【季世】,≒,"ちゅうし
ぎょうまつ
こくしょう",◆２,澆末,"▼【季世】キセイ
末の世。道徳･風俗などの衰えた時代。≒末世〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔澆末〕ギョウマツ
人情が薄れて、風俗が乱れた世の中。道徳の廃れた世。末世。≒澆季〈漢字ペディア〉
◇漢字ペディア大見出し"
H0547,【軌轍】,≒,"けんち
けいりん
しょうせき",◆２,"蹤跡
縦迹","▼【軌轍】キテツ
1.車の車輪が通った跡。車の跡。わだち。また、車が通ったこと。
2.前人の行為。前例。また、法則。のり。手本。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔蹤跡〕ショウセキ
1.あしあと。転じて、以前にあった事柄。前例。≒事跡
2.人のあとをつけて行くこと。≒追跡〈漢字ペディア〉
◇漢字ペディア大見出し"
H0548,【亀裂】,≒,"せんぜい
へいきん
かげき",◆２,罅隙,"▼【亀裂】キレツ
ひび割れ。さけめ。転じて、人間関係のひび。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔罅隙〕カゲキ
裂け目。割れ目。亀裂。〈大辞泉〉
◇漢字ペディア小見出し"
H0549,【戯謔】,≒,"かいかい
すいきょ
ちゅうじょう",◆２,詼諧,"▼【戯謔】ギギャク
ふざけること。おどけること。たわむれ。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔詼諧〕カイカイ
おどけること。たわむれ。冗談。≒諧謔〈漢字ペディア〉
◇漢字ペディア大見出し"
H0550,【欺瞞】,≒,"きしゅう
ふんまん
へんさ",◆２,騙詐,"▼【欺瞞／欺謾】ギマン
あざむき、だますこと。≒瞞着〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔騙詐〕ヘンサ
だましていつわること。巧みな口調で騙(ｶﾀ)ること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0551,【義捐】,≒,"ぎょうこう
しょこう
しんじゅつ",◆２,"賑恤
振恤
賑卹
振卹","▼【義捐／義援】ギエン
慈善や被災者救済などの趣旨で、金銭や品物を差し出すこと。〈大辞泉〉","▼〔賑恤／振恤〕シンジュツ
貧しい者や、災害にあった者にお布施すること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0552,【客舎】,≒,"りゅうてい
きしゅう
げきりょ",◆２,逆旅,"▼【客舎】カクシャ／キャクシャ
旅人の泊まる宿屋。旅先の宿。≒旅館〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔逆旅〕ゲキリョ
宿屋。旅館。〈漢字ペディア〉
◇漢字ペディア大見出し
★逆は迎える、旅は旅人の意。"
H0553,【逆旅】,≒,"しゅうかく
さいさく
きてい",◆２,旗亭,"▼【逆旅】ゲキリョ
宿屋。旅館。〈漢字ペディア〉
◇漢字ペディア大見出し
★逆は迎える、旅は旅人の意。","▼〔旗亭〕キテイ
1.旅館。
2.料理屋。〈漢字ペディア〉
★昔、中国で目印に旗を立てたことから。
◇漢字ペディア大見出し"
H0554,【丘隴】,≒,"えいいき
せんぱく
しゃくほう",◆２,塋域,"▼【丘隴】キュウロウ
小高いところ。おか。また、墳墓。
◇漢字ペディア下付き","▼〔塋域〕エイイキ
はかば。一般の土地と区別されている墓地。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0555,【窮困】,≒,"ひんしゅく
きんぱく
うゆう",◆２,窘迫,"▼【窮困】キュウコン
1.困難な状況におかれて苦しむこと。貧乏で困ること。困窮。
2.極度の疲労。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔窘迫〕キンパク
敵に追いつめられくるしむこと。さしせまられくるしむこと。≒困窮〈漢字ペディア〉
◇漢字ペディア大見出し"
H0556,【渠魁】,≒,"げいげい
こうとく
れいしゅ",◆２,鯨鯢,"▼【渠魁】キョカイ
悪い集団のかしら。≒巨魁〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔鯨鯢〕ゲイゲイ
1.クジラの雄と雌。または、小魚を食う大魚のたとえ。「鯨」は雄のクジラ、「鯢」は雌のクジラの意。
2.大悪人。〈漢字ペディア〉"
H0557,【漁家】,≒,"たんこ
けいだん
おうしゃ",◆２,蜑戸,"▼【漁家】ギョカ
漁をして生計をたてている家。漁戸(ｷﾞｮｺ)。〈日本国語大辞典〉","▼〔蜑戸〕タンコ
あまの住む家。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0558,【匡弼】,≒,"けいゆう
けんがく
ひほ",◆２,裨補,"▼【匡弼】キョウヒツ
誤りをただし、欠けたところを補い助けること。また、その人。≒匡輔〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔裨補〕ヒホ
不足している部分を補って、助けること。たすけ。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0559,【境内】,≒,"かき
ぼんぜい
そうゆ",◆２,梵砌,"▼【境内】ケイダイ
神社･寺院の敷地の中。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔梵砌〕ボンゼイ
寺院の境内。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0560,【業腹】,≒,"じょくち
しんきゅう
ふんまん",◆２,"忿懣
憤懣","▼【業腹】ゴウはら
非常にくやしくて腹の立つこと。怒りにたえないこと。いまいましいこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔忿懣／憤懣〕フンマン
いきどおり、もだえること。心のなかにわだかまっている怒り。≒憤悶〈漢字ペディア〉
◇漢字ペディア大見出し"
H0561,【玉体】,≒,"せいきゅう
わいく
しょうこう",◆２,聖躬,"▼【玉体】ギョクタイ
1.玉のように美しいからだ。
2.天子または貴人のからだ。
3.他人を敬って、そのからだをいう語。〈大辞泉〉","▼〔聖躬〕セイキュウ
天子の体。≒玉体、聖体〈漢字ペディア〉
◇漢字ペディア大見出し"
H0562,【寓意】,≒,"ふうゆ
ひょうぼう
るこつ",◆２,"諷喩
風諭
諷諭
風喩","▼【寓意】グウイ
他の物事にかこつけて、ある意味をそっと示すこと。また、その意味。アレゴリー。≒寓喩〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔諷喩／風諭／諷諭／風喩〕フウユ
遠回しにそれとなくさとすこと。たとえだけを示して、本当の意味を推察させたりすること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0563,【薫染】,≒,"じゃこう
しんしゃ
こうけち",◆２,親炙,"▼【薫染】クンセン
香気がうつりしみること。転じて、よい感化を受けること。〈日本国語大辞典〉","▼〔親炙〕シンシャ／シンセキ
その人に親しく接して影響を受け、感化されること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0564,【啓閉】,≒,"せきれき
ばっこ
かいこう",◆２,開闔,"▼【啓閉】ケイヘイ
1.開くことと閉じること。あけたて。開閉。
2.啓と閉。すなわち、立春･立夏と立秋･立冬。〈日本国語大辞典〉","▼〔開闔〕カイコウ
1.開くことと閉じること。≒開閉
2.平安時代以降、書物の出納や文書を扱った役人。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0565,【恵与】,≒,"しごう
せんきゅう
さんじゅん",◆２,贍給,"▼【恵与】ケイヨ
1.恵み与えること。
2.人から物を与えられたことをいう尊敬語。≒恵贈、恵投〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔贍給〕センキュウ
不足をおぎない、めぐみ与えること。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0566,【敬老】,≒,"きゅうじょう
しょうし
かいきゅう",◆２,尚歯,"▼【敬老】ケイロウ
老人をうやまい、いたわること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔尚歯〕ショウシ
老人を尊敬すること。≒敬老〈漢字ペディア〉
★「歯」は年齢の意。
◇漢字ペディア大見出し"
H0567,【撃壌】,≒,"そうじょう
きでん
がいあん",◆２,"乂安
艾安","▼【撃壌】ゲキジョウ
1.大地、または壌という楽器をうつこと。特に、「撃壌の歌」の故事から、世の中が平和なことを表わすのに用いる。
2.木製の、沓形の木を土の上におき、三、四十歩離れた所から別の木を投げてあてる中国の遊戯。げたうち。〈日本国語大辞典〉
◇漢字ペディア大見出し","▼〔乂安／艾安〕ガイアン／カイアン
世の中が治まって安らかなこと。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0568,【欠点】,≒,"かし
きんげき
こくさい",◆２,瑕疵,"▼【欠点】ケッテン
1.補うべきところ。短所。≒弱点、⇔美点
2.落第点。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔瑕疵〕カシ
1.きず。欠点。
2.法的に欠陥や欠点があり、完全な条件を備えていない状態。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0569,【剣尖】,≒,"ほうぼう
もうどう
さつど",◆２,"鋒鋩
鋒芒","▼【剣尖】ケンセン
刀剣のきっさき。剣先(けんさき)。〈日本国語大辞典〉","▼〔鋒鋩／鋒芒〕ホウボウ
1.刀やほこなどの先。切っ先。ほこさき。
2.鋭い気性や言葉のたとえ。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0570,【懸河】,≒,"えんげん
しゅうけい
ほんたん",◆２,奔湍,"▼【懸河】ケンガ
傾斜のはげしい土地を流れ下る川。急流。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔奔湍〕ホンタン
勢いの激しい流れ。また、流れのはやい川。早瀬。急流。≒奔流〈漢字ペディア〉
◇漢字ペディア大見出し"
H0571,【硯北】,≒,"すいこう
きか
せきとく",◆２,"几下
机下","▼【硯北／研北】ケンポク
手紙のあて名の脇(ﾜｷ)に添えて敬意を表す語。「おそば」の意。≒机下、座下〈漢字ペディア〉
★南向きに机に座ると、人は机上の硯(ｽｽﾞﾘ)の北に位置することから。
◇漢字ペディア大見出し","▼〔几下／机下〕キカ
手紙のあて名に添える脇付(ﾜｷﾂﾞｹ)の尊敬語。相手の机の下に差し出す意で、相手のあて名の左下に書く。≒案下、侍史〈漢字ペディア〉
◇漢字ペディア大見出し"
H0572,【軒冕】,≒,"しんしん
かいらん
すいこく",◆２,縉紳,"▼【軒冕】ケンベン
1.貴人の車と冠。
2.転じて、高位、高官。高位の官職。また、その人。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔縉紳〕シンシン
官位･身分の高い人。転じて、紳士。〈漢字ペディア〉
★礼装で笏(ｼｬｸ)を大帯にさしはさむ人の意。
◇漢字ペディア大見出し"
H0573,【古蹟】,≒,"かんもん
ときゅう
きゅうし",◆２,"旧址
旧趾","▼【古蹟／古跡】コセキ
歴史上の事件や建物などがあった場所。≒旧跡、遺跡、古址〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔旧址／旧趾〕キュウシ
歴史上知られた出来事や建物などがあった所。≒旧跡、旧蹟〈漢字ペディア〉
◇漢字ペディア大見出し"
H0574,【鼓譟】,≒,"とっかん
げきぜつ
げきじょう",◆２,吶喊,"▼【鼓譟／鼓噪／鼓騒】コソウ
戦場で、士気を高めるために太鼓を打ち鳴らして騒ぐこと。鬨(ﾄｷ)の声をあげること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔吶喊〕トッカン
1.大勢が大声で叫ぶこと。鬨(とき)の声をあげること。
2.大声を発しながら、敵陣に突撃すること。≒突貫〈漢字ペディア〉
◇漢字ペディア大見出し"
H0575,【後胤】,≒,"のうせき
えいそん
しゅくそ",◆２,裔孫,"▼【後胤】コウイン
子孫。≒後裔〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔裔孫〕エイソン
遠い末の子孫。子や孫よりもあとの血筋。≒末裔、後裔、⇔先祖、元祖、初祖〈漢字ペディア〉
◇漢字ペディア大見出し"
H0576,【御食】,≒,"ぜんじ
せいじん
しんせん",◆２,神饌,"▼【御食／御饌】みけ
1.神への供え物。≒神饌
2.天皇の食事の材料。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔神饌〕シンセン
神にそなえる飲食物。稲･酒･米や野菜･魚介類･塩や水など。御饌(ﾐｹ)。≒供物〈漢字ペディア〉
◇漢字ペディア大見出し"
H0577,【梧右】,≒,"せいか
しょそ
けいろく",◆２,砌下,"▼【梧右】ゴユウ
紙のあて名のわきに添えて敬意を表す語。≒机下、梧下〈漢字ペディア〉
★梧桐(ｱｵｷﾞﾘ)でできた机のわきの意から。
◇漢字ペディア大見出し","▼〔砌下〕セイカ
1.石の階段の下のあたり。
2.軒下の雨だれを受けるための敷石。
3.手紙の脇(ﾜｷ)づけに用いて敬意を示す語。≒足下〈漢字ペディア〉
◇漢字ペディア大見出し"
H0578,【光来】,≒,"のうせき
おうこ
きょうじつ",◆２,枉顧,"▼【光来】コウライ
人が来訪することを敬っていう語。おいで。光臨。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔枉顧〕オウコ
貴人が乗り物の方向を変えて自分を顧みる意から、人の来訪を敬っていう語。≒枉駕〈漢字ペディア〉
◇漢字ペディア大見出し"
H0579,【公廨】,≒,"かいきょく
かんが
しどう",◆２,官衙,"▼【公廨】クガイ／クゲ／クカイ／コウカイ
1.役所。また、その建物。
2.政府の所有物。役所の費用・物品・田地など。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔官衙〕カンガ
役所。官庁。〈漢字ペディア〉
◇漢字ペディア大見出し"
H0580,【康衢】,≒,"きゅうしょう
とんぐう
たいき",◆２,大逵,"▼【大逵】タイキ
広く大きな四辻(ﾖﾂﾂｼﾞ)。大通り。大路(ｵｵｼﾞ)。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔康衢〕コウク
にぎやかな大通り。
◇漢字ペディア大見出し"
