ID,難易度,熟語,意味,読み,文章
A2341,◆３,這箇,"這箇（しゃこ）
┌これ。これら。この。〈大辞泉〉
┌この。これ。〈字通〉",しゃこ,これ。これら。この。
A2342,◆３,火燵,"火燵（こたつ）
┌熱源をやぐらでおおい、その上に布団を掛けて暖をとるもの。〈大辞泉〉
┌暖房器具の一つ。炭火などの熱源の上にやぐらをかぶせ、上を布団でおおったもの。≒炬燵〈漢字ペディア〉",こたつ,熱源をやぐらでおおい、その上に布団を掛けて暖をとるもの。
A2343,◆３,祚胤,"祚胤（そいん）
┌1.長く子孫まで幸福を授かること。
└2.子孫。〈漢字源〉
┌さいわいのを子孫に伝える。転じて、よい子孫。〈新大字典〉",そいん,長く子孫まで幸福を授かること。子孫。
A2344,◆３,鍮石,"鍮石（とうせき、ちゅうせき、ちゅうじゃく）
┌しんちゅう(真鍮)。また、自然銅の質の良いもの。〈新漢和大字典〉
┌黄銅鉱。〈漢辞海〉
┌しんちゅう。また、自然銅の質の良いもの。〈漢字源〉",とうせき、ちゅうせき、ちゅうじゃく,しんちゅう。また、自然銅の質の良いもの。
A2345,◆３,燻胥,"燻胥（くんしょ）
くすぶりがだんだんひろがる。他人の罪に引き込まれることのたとえ。〈漢字源〉",くんしょ,くすぶりがだんだんひろがる。他人の罪に引き込まれることのたとえ。
A2346,◆３,朏明,"朏明（ひめい）
ほのぼのとした夜明け。〈漢字源〉",ひめい,ほのぼのとした夜明け。
A2347,◆３,杼機,"杼機（ちょき）
┌機(ﾊﾀ)。〈字通〉
┌ひと、はた。はたを織るのに用いる具。〈字源〉
┌杼(ﾋ)と機(ﾊﾀ)。ともに機織りの道具。〈新大字典〉",ちょき,機。
A2348,◆３,梨棗,"梨棗（りそう）
┌なしと、なつめと。〈字源〉
┌梨と棗(ﾅﾂﾒ)。転じて、梨と棗はともに版木に用いられることから、版木、また、版木にして出版すること。〈日本国語大辞典〉",りそう,なしと、なつめと。
A2349,◆３,貪瞋痴,"貪瞋痴（とんじんち）
┌仏語。むさぼりと怒りと無知。貪欲と瞋恚(ｼﾝｲ)と愚痴。三毒。〈大辞泉〉
┌貪欲･瞋恚･愚痴の、三つの根本的な煩悩。三毒。「貪欲」は欲が深いこと、「瞋恚」は怒り、「愚痴」は理非を見失うおろかさの意。〈漢字ペディア〉",とんじんち,仏語。むさぼりと怒りと無知。貪欲と瞋恚と愚痴。三毒。
A2350,◆３,焚燼,"焚燼（ふんじん）
┌焼けて灰燼となる。〈字通〉
┌燃え残り。〈漢字源〉
┌燃え残り。燃えかす。〈漢辞海〉",ふんじん,焼けて灰燼となる。
A2351,◆３,檐鈴,"檐鈴（えんれい）
┌風鈴。〈漢字源〉
┌風鈴。〈字源〉
┌のきにつるした風鈴。≒檐鐸〈漢辞海〉",えんれい,風鈴。
A2352,◆３,浣洒,"浣洒（かんさい）
┌あらいすすぐ。〈漢字源〉
┌すすぐ。〈字通〉
┌あらいすすぐ。≒浣濯、浣滌〈漢辞海〉",かんさい,あらいすすぐ。
A2353,◆３,禾莠,"禾莠（かゆう）
田の雑草。〈字通〉",かゆう,田の雑草。
A2354,◆３,鶯梭,"鶯梭（おうさ）
┌鶯が飛び交う。〈字通〉
┌鶯が枝から枝へ飛び移って鳴くようすを、機(ﾊﾀ)の梭(ﾋ)の動くのにたとえていう語。〈大辞泉〉",おうさ,鶯が飛び交う。
A2355,◆３,靴笏,"靴笏（かこつ）
┌靴と、しゃく。〈漢字源〉
┌靴と、しゃく。〈字通〉",かこつ,靴と、しゃく。
A2356,◆３,霎霎,"霎霎（しょうしょう）
┌雨の音。〈字通〉
┌さっさっという風の音や、雨の降る音の形容。≒颯颯〈新漢和大字典〉",しょうしょう,雨の音。
A2357,◆３,積潦,"積潦（せきろう）
┌大水。洪水。〈漢字源〉
┌大水。洪水。〈新大字典〉",せきろう,大水。洪水。
A2358,◆３,椿萱,"椿萱（ちんけん）
┌父母のこと。〈漢字源〉
┌椿堂と萱堂。父母を言う。椿は長寿の木で父にたとえ、萱は北堂(主婦のいる所)に植える木で母にたとえる。〈新大字典〉
★椿萱並び茂る…父も母もともに健在であること。〈漢字源〉",ちんけん,父母のこと。
A2359,◆３,禿瘡,"禿瘡（とくそう）
┌頭部に発生する皮膚病。ところどころに円形をした紅色の斑点を生じ、時にはそこの毛髪が抜け落ちる。〈大辞泉〉
┌頭部に発生する皮膚病の一種。はげがさ。〈新大字典〉",とくそう,頭部に発生する皮膚病。ところどころに円形をした紅色の斑点を生じ、時にはそこの毛髪が抜け落ちる。
A2360,◆３,丐命,"丐命（かいめい）
┌命の助かることを願う。助命を求めること。≒乞命〈新漢和大字典〉
┌命ごい。〈字通〉",かいめい,命の助かることを願う。助命を求めること。
A2361,◆３,羈窶,"羈窶（きく）
他郷にあって貧苦の生活をする。〈字通〉",きく,他郷にあって貧苦の生活をする。
A2362,◆３,菎蒻,"菎蒻（こんにゃく）
┌(国)1.草の名。その球茎はこんにゃくの原料とされる。
└2.食品名。菎蒻の球茎を加工したもの。≒蒟蒻〈新漢和大字典〉
┌サトイモ科の多年草。≒蒟蒻〈漢字ペディア〉",こんにゃく,草の名。その球茎はこんにゃくの原料とされる。食品名。菎蒻の球茎を加工したもの。
A2363,◆３,霑濡,"霑濡（てんじゅ）
1.びっしょりぬれる。
2.恩恵を受ける。〈新漢和大字典〉",てんじゅ,びっしょりぬれる。恩恵を受ける。
A2364,◆３,羌笛,"羌笛（きょうてき）
┌羌人(古代より中国西北部に住んでいる民族の人)の吹く笛のこと。〈新漢和大字典〉
┌羌人の笛。〈字通〉",きょうてき,羌人の吹く笛のこと。
A2365,◆３,蜑叟,"蜑叟（たんそう）
蜑人(ﾀﾝｼﾞﾝ:中国南部の水上生活者)の老人。〈漢字源〉",たんそう,蜑人の老人。
A2366,◆３,傾仄,"傾仄（けいそく）
┌1.横に傾く。
└2.物事が一方にかたよっていて正しくない。〈漢字源〉
┌1.かたむくこと。かたむけること。≒傾側
└2.よこしま。不正。〈新大字典〉",けいそく,横に傾く。物事が一方にかたよっていて正しくない。
A2367,◆３,哺啜,"哺啜（ほせつ）
飲食する。〈字通〉",ほせつ,飲食する。
A2368,◆３,豕喙,"豕喙（しかい）
┌いのししのように長くて細い口先。欲深い人の人相とされる。〈漢字源〉
┌いのこの如き長く鋭い口ばし。転じて、人の貪慾なる相。〈字源〉",しかい,いのししのように長くて細い口先。欲深い人の人相とされる。
A2369,◆３,羔裘,"羔裘（こうきゅう）
┌子羊の皮で作った衣服。〈新漢和大字典〉
┌黒羊の皮衣。大夫の礼服。〈字通〉",こうきゅう,子羊の皮で作った衣服。
A2370,◆３,膠粘,"膠粘（こうでん）
┌にかわがねばりつく。また、にかわでくっつける。〈新漢和大字典〉
┌ねばる。〈字通〉
┌にかわづけにすること。〈新大字典〉",こうでん,にかわがねばりつく。また、にかわでくっつける。
A2371,◆３,梏桎,"梏桎（こくしつ）
┌手かせ足かせ。転じて、きびしく束縛して自由を奪うこと。拘束すること。ほだし。桎梏。〈日本国語大辞典〉
┌1.手かせと足かせ。
└2.しばって自由にさせないこと。≒桎梏〈漢字源〉",こくしつ,手かせ足かせ。転じて、きびしく束縛して自由を奪うこと。拘束すること。ほだし。桎梏。
A2372,◆３,秉鈞,"秉鈞（へいきん）
┌権力を掌握する。〈字通〉
┌政権を執る。〈字源〉",へいきん,権力を掌握する。
A2373,◆３,迸出,"迸出（へいしゅつ、ほうしゅつ）
┌ほとばしり出る。水などが勢いよくわき出ること。≒澎出〈新漢和大字典〉
┌ほとばしり出ること。〈大辞泉〉
┌ほとばしり出ること。勢いよくわき出ること。≒迸発〈漢字ペディア〉",へいしゅつ、ほうしゅつ,ほとばしり出る。水などが勢いよくわき出ること。
A2374,◆３,姸蚩,"姸蚩（けんし）
┌美しいことと醜いこと。また、好ましいことと憎たらしいこと。美醜。〈漢字源〉
┌美しいことと醜いこと。美醜。〈日本国語大辞典〉",けんし,美しいことと醜いこと。また、好ましいことと憎たらしいこと。美醜。
A2375,◆３,巻舒,"巻舒（けんじょ）
巻くこととのばすこと。〈漢字ペディア〉
★旌旗(ｾｲｷ)巻舒…戦いが続くことのたとえ。〈漢字ペディア〉",けんじょ,巻くこととのばすこと。
A2376,◆３,宦情,"宦情（かんじょう）
┌仕えて、役人になりたいという気持ち。〈漢字源〉
┌≒官情
├1.仕官を望む心。
└2.官僚社会の様子。役人仲間の内情。〈日本国語大辞典〉",かんじょう,仕えて、役人になりたいという気持ち。
A2377,◆３,迸発,"迸発（ほうはつ）
┌ほとばしり出ること。逬出。〈大辞林〉
┌勢いよく発すること。ほとばしり出ること。≒迸出〈漢字ペディア〉",ほうはつ,ほとばしり出ること。逬出。
A2378,◆３,痃癖,"痃癖（けんぺき）
首から肩にかけての筋が引きつること。肩凝り。肩癖。〈漢字ペディア〉",けんぺき,首から肩にかけての筋が引きつること。肩凝り。肩癖。
A2379,◆３,霖潦,"霖潦（りんろう）
┌1.大雨が降り続く。また、ながあめで道が流れのようになる。
└2.ながあめによる洪水。〈新漢和大字典〉
┌ながあめにて濁流が漲る。≒淫潦〈字源〉",りんろう,大雨が降り続く。また、ながあめで道が流れのようになる。ながあめによる洪水。
A2380,◆３,羞赧,"羞赧（しゅうたん）
┌肩身の狭い思いをして顔を赤くする。〈新漢和大字典〉
┌赤面する。〈字通〉",しゅうたん,肩身の狭い思いをして顔を赤くする。
A2381,◆３,謝忱,"謝忱（しゃしん）
お礼の真情。〈漢字源〉",しゃしん,お礼の真情。
A2382,◆３,憾恚,"憾恚（かんい）
┌うらみいかる。〈漢字源〉
┌うらみいかる。〈字源〉",かんい,うらみいかる。
A2383,◆３,愒日,"愒日（かいじつ）
日をむさぼる。〈字通〉
★「愒」は、「むさぼる」意だと「カイ（愒日／玩愒）」、「おどす」意だと「カツ（恐愒／恫愒）」、出典が少ないが「いこう」意だと「ケイ（愒息）≒憩」と読むときが多いようだ。過去出題歴もある「カイ」音が特に重要。",かいじつ,日をむさぼる。
A2384,◆３,赴愬,"赴愬（ふそ）
┌はせつけてうったえる。〈漢字源〉
┌赴いて告げ訴える。〈字通〉
★漢字ペディアを見れば、「愬」は「ソ」「サク」の二音を載せている。「ソ」は「≒訴」と解釈して、「サク」を意識して覚えてと言いたいところだが優先度は低い。どちらかと言えばこの字は訓読みの方が重要である（膚受の愬え）。",ふそ,はせつけてうったえる。
A2385,◆３,戛撃,"戛撃（かつげき）
┌金石の楽器をうちならす。〈字通〉
┌音をさせて軽くうつ。〈字源〉
┌楽器を軽く打ち鳴らす。〈漢辞海〉",かつげき,金石の楽器をうちならす。
A2386,◆３,羈紲,"羈紲（きせつ）
┌1.手綱。また、おもがいと手綱。
└2.つなぎとめること。また、その物事。拘束。〈大辞泉〉
┌束縛され、使役される。〈字通〉
┌たづな。〈漢字源〉
┌たづな。また、馬のおもがいとたづな。転じて、つなぎとめること、拘束すること、また、その物事の意にいう。束縛。≒羈絏〈日本国語大辞典〉",きせつ,手綱。また、おもがいと手綱。つなぎとめること。また、その物事。拘束。
A2387,◆３,餒斃,"餒斃（だいへい）
┌うえて、行き倒れになって死ぬこと。〈漢字源〉
┌うえてたおれ死す。〈字源〉
┌飢えて行き倒れ、死ぬ。≒餒饉〈漢辞海〉",だいへい,うえて、行き倒れになって死ぬこと。
A2388,◆３,蛹臥,"蛹臥（ようが）
さなぎのようにこもる。隠者となる。〈字通〉",ようが,さなぎのようにこもる。隠者となる。
A2389,◆３,淵謨,"淵謨（えんぼ）
┌深いはかりごと。深謀。〈漢字源〉
┌深いはかりごと。深謀。遠謀。〈日本国語大辞典〉",えんぼ,深いはかりごと。深謀。
A2390,◆３,遏絶,"遏絶（あつぜつ）
┌1.一族を残らず滅ぼす。
└2.おしとどめて物事をさせない。≒遏止〈新漢和大字典〉
┌さえぎりとどめること。排斥すること。〈大辞林〉
┌1.おしとどめて物事をさせないこと。≒遏止
└2.たちきること。一族を絶滅させること。〈漢字ペディア〉",あつぜつ,一族を残らず滅ぼす。おしとどめて物事をさせない。
A2391,◆３,投杼,"投杼（とうちょ）
┌いつわりの告げ口も、たび重なると人が信ずるようになるたとえ。〈漢字ペディア〉
┌他人の告げ口も、何回も聞かされると信用するようになること。〈漢字源〉
★曾参(孔子の弟子)の母親は曾参を深く信じていたが、曾参が人を殺したと告げる人が三人も出てきた時に、とうとう手に持っていた機織りの道具の杼(ﾋ)を投げ捨てて家を飛び出したという。〈漢字源〉",とうちょ,いつわりの告げ口も、たび重なると人が信ずるようになるたとえ。
A2392,◆３,纂輯,"纂輯（さんしゅう）
┌文書を集めて、書物にまとめること。編纂。編集。〈大辞泉〉
┌材料を集めて書物を編集すること。〈新漢和大字典〉
┌集める。〈字通〉",さんしゅう,文書を集めて、書物にまとめること。編纂。編集。
A2393,◆３,戸牖,"戸牖（こゆう）
┌戸や窓。入口。〈字通〉
┌1.出入り口と窓。
└2.学問･技芸などで一つの流派をなすもの。〈漢字源〉
┌戸口と窓。戸口や窓。こよう。〈日本国語大辞典〉",こゆう,戸や窓。入口。
A2394,◆３,蔗境,"蔗境（しゃきょう、しょきょう）
┌話や文章･事柄などが、次第におもしろくなっていく部分。≒佳境〈漢字源〉
┌老境にたとえる。〈字通〉
┌文章、話、状態などが、次第に面白くなってくるところ。佳境。蔗を嚙む境(ｷｮｳ)。〈日本国語大辞典〉
┌談話や文章などのだんだんおもしろくなるところ。佳境。〈漢字ペディア〉
★さとうきびは先から食べて根元にいけばいくほど甘みを増すことから。〈漢字源〉",しゃきょう、しょきょう,話や文章･事柄などが、次第におもしろくなっていく部分。
A2395,◆３,牟尼,"牟尼（むに）
┌1.インドで、山林にあって沈黙の行をする人の称。
└2.釈迦の尊称。釈迦牟尼。〈大辞泉〉
┌1.仏語。インドで、心身を静め沈黙の行を修する行者をいう。
└2.特に釈迦の尊称。釈迦牟尼。〈日本国語大辞典〉",むに,インドで、山林にあって沈黙の行をする人の称。釈迦の尊称。釈迦牟尼。
A2396,◆３,聾喑,"聾喑（ろういん）
┌耳が聞こえないことと、口がきけないこと。意志が通じ合っていないことにたとえる。〈字通〉
┌耳と口が不自由。〈字通〉",ろういん,耳が聞こえないことと、口がきけないこと。意志が通じ合っていないことにたとえる。
A2397,◆３,淬厲,"淬厲（さいれい）
┌みがきをかける。〈字通〉
┌気を引き締めて、つとめはげむ。〈漢字源〉
┌1.刃物に焼きを入れ、とぎみがく。
└2.激励する。鍛える。〈漢辞海〉",さいれい,みがきをかける。
A2398,◆３,舂牘,"舂牘（しょうとく）
竹楽器。〈字通〉",しょうとく,竹楽器。
A2399,◆３,訂譌,"訂譌（ていか）
┌あやまりを正す。〈漢字源〉
┌正誤。〈字通〉",ていか,あやまりを正す。
A2400,◆３,駢文,"駢文（べんぶん）
┌四字と六字の対句を用い、音調を整えて故事を多用する文体。内容よりも形式を重んじる。中国、六朝(ﾘｸﾁｮｳ)から唐の時代に流行した。四六駢儷体(ｼﾛｸﾍﾞﾝﾚｲﾀｲ)。〈漢字ペディア〉
┌漢文の文体の一。4字または6字の句を基本とし、対句を用いて句調を整え、典故を多用した華麗な文章。中国で六朝(ﾘｸﾁｮｳ)から唐にかけて流行。日本では奈良・平安時代の漢文に多く用いられた。四六駢儷(ﾍﾞﾝﾚｲ)体。駢儷体。駢体文。四六文。〈大辞泉〉",べんぶん,四字と六字の対句を用い、音調を整えて故事を多用する文体。内容よりも形式を重んじる。中国、六朝から唐の時代に流行した。四六駢儷体。
A2401,◆３,肇釁,"肇釁（ちょうきん）
争いをはじめる。釁は隙(ｽｷ)。〈字通〉",ちょうきん,争いをはじめる。釁は隙。
A2402,◆３,遺佚,"遺佚（いいつ）
┌≒遺逸
├1.見捨てられて用いられない。
└2.わすれる。〈漢字源〉
┌≒遺逸
├1.有能な人が、世に用いられず、民間に埋もれていること。また、その人。
└2.物事が散らばり、なくなること。また、その物事。〈日本国語大辞典〉",いいつ,見捨てられて用いられない。わすれる。
A2403,◆３,氛霾,"氛霾（ふんばい）
┌うす曇り。〈字通〉
┌うすぐらく土ふる。〈字源〉",ふんばい,うす曇り。
A2404,◆３,鼈羹,"鼈羹（べっかん、べつかん）
┌すった山の芋に小麦粉･小豆粉･砂糖などを練り合わせて蒸し、亀甲形に切った餅菓子。もと、禅家の間食用。〈大辞泉〉
┌禅家で間食に用いる餅菓子の一種。すった山の芋に小豆粉･小麦粉･砂糖などを練り合わせて蒸し、亀甲の形に切ったもの。〈大辞林〉",べっかん、べつかん,すった山の芋に小麦粉･小豆粉･砂糖などを練り合わせて蒸し、亀甲形に切った餅菓子。もと、禅家の間食用。
A2405,◆３,韮萍,"韮萍（きゅうへい）
にらと、うきくさ。〈字通〉",きゅうへい,にらと、うきくさ。
A2406,◆３,覆載,"覆載（ふうさい）
┌1.天が万物をおおい、地が万物をのせること。また、天地や君主の恩恵のたとえ。
└2.転じて、天と地。宇宙。乾坤(ｹﾝｺﾝ)。〈大辞林〉
┌1.万物をおおう天と、万物をのせる地。また、天が万物をおおい、地が万物をのせること。
└2.天地。宇宙。乾坤(ｹﾝｺﾝ)。〈漢字ペディア〉",ふうさい,天が万物をおおい、地が万物をのせること。また、天地や君主の恩恵のたとえ。転じて、天と地。宇宙。乾坤。
A2407,◆３,鐫喩,"鐫喩（せんゆ）
┌深く掘り下げて、親切に教えさとす。〈漢字源〉
┌深く勧め、切にさとす。〈字源〉",せんゆ,深く掘り下げて、親切に教えさとす。
A2408,◆３,黍稷,"黍稷（しょしょく）
┌もちきびとうるきび。また、きびとあわ。転じて、五穀の称。〈日本国語大辞典〉
┌モチキビとウルチキビ。転じて、五穀。〈大辞泉〉",しょしょく,もちきびとうるきび。また、きびとあわ。転じて、五穀の称。
A2409,◆３,瓶嘴,"瓶嘴（へいし）
かめの口。〈字通〉",へいし,かめの口。
A2410,◆３,圜宰,"圜宰（えんさい）
┌天のこと。≒圜則〈漢字源〉
┌天。天道。≒圜則〈漢辞海〉",えんさい,天のこと。
A2411,◆３,垠崖,"垠崖（ぎんがい）
┌そびえたつがけ。〈漢字源〉
┌1.切り立った崖。
└2.はて。かぎり。〈漢辞海〉",ぎんがい,そびえたつがけ。
A2412,◆３,葺牆,"葺牆（しゅうしょう）
┌カヤで作ったかきね。また、草で作ったかきね。〈新漢和大字典〉
┌草の垣。〈字通〉
┌かきをつくろう。〈新大字典〉",しゅうしょう,カヤで作ったかきね。また、草で作ったかきね。
A2413,◆３,奠菜,"奠菜（てんさい）
┌神前に野菜を供えること。また、供え物。〈漢字源〉
┌神前に供え物をする。また、その供え物。〈漢辞海〉",てんさい,神前に野菜を供えること。また、供え物。
A2414,◆３,婢妾,"婢妾（ひしょう）
┌めかけ女中。〈字通〉
┌婢と妾。女中またはめかけ。召使の女。はしため。〈日本国語大辞典〉",ひしょう,めかけ女中。
A2415,◆３,癈兵,"癈兵（はいへい）
┌戦争で負傷してからだが不自由になった兵士。〈漢字源〉
┌戦争で負傷して、身体に障害をきたし、ふたたび戦闘に従事することのできなくなった兵。≒廃兵〈日本国語大辞典〉",はいへい,戦争で負傷してからだが不自由になった兵士。
A2416,◆３,縹帙,"縹帙（ひょうちつ）
┌はなだ色の書衣。転じて、書物。〈新大字典〉
┌1.うすい藍色の帙。
└2.転じて、書物のこと。〈漢字源〉",ひょうちつ,はなだ色の書衣。転じて、書物。
A2417,◆３,垢穢,"垢穢（くえ）
┌垢で汚れること。〈大辞林〉
┌あかでよごれていること。〈漢字ペディア〉",くえ,垢で汚れること。
A2418,◆３,矜縦,"矜縦（きょうしょう）
┌ほしいままにする。〈字通〉
┌ほこってほしいままなこと。〈新大字典〉",きょうしょう,ほしいままにする。
A2419,◆３,靠幇,"靠幇（こうほう）
助け合う。〈字通〉",こうほう,助け合う。
A2420,◆３,弭忘,"弭忘（びぼう）
┌考えることをやめる。忘れる。〈漢字源〉
┌忘れる。〈字通〉",びぼう,考えることをやめる。忘れる。
A2421,◆３,悖乱,"悖乱（はいらん）
┌正しい道に背いて乱を起こす。謀反。〈漢字源〉
┌1.正道にそむいて乱を起こすこと。むほん。≒反乱
└2.道にもとり、正義を乱すこと。〈漢字ペディア〉
┌道理に逆らい正道を乱すこと。〈日本国語大辞典〉
★「悖」は、「もとる」や「みだれる」意だと「ハイ（悖戻／暴悖）」、「さかん」な意だと「ボツ（悖然）≒勃」と読むときが多いようだ。過去出題歴も「ハイ」音が重要。",はいらん,正しい道に背いて乱を起こす。謀反。
A2422,◆３,犖犖,"犖犖（らくらく）
┌模様のけじめが明らかなさま。また、一つ一つが目立つさま。〈漢字源〉
┌1.明らかなさま。
└2.すぐれるさま。〈字通〉
┌1.人よりもすぐれているさま。
└2.あきらかなさま。〈日本国語大辞典〉",らくらく,模様のけじめが明らかなさま。また、一つ一つが目立つさま。
A2423,◆３,侈靡,"侈靡（しび）
┌身分不相応に贅沢すること。〈漢字源〉
┌身分にすぎたおごり。〈字通〉",しび,身分不相応に贅沢すること。
A2424,◆３,芟薙,"芟薙（さんてい）
┌刈りたおす。〈字通〉
┌かりのぞく。〈字源〉
┌刈りのぞくこと。〈新大字典〉
┌刈り除く。〈漢辞海〉",さんてい,刈りたおす。
A2425,◆３,佞姦,"佞姦（ねいかん）
┌口先がうまく心がねじけていること。〈漢字源〉
┌口先がうまくて表面は従順だが、心はねじけていて正しくないこと。また、そのようすやその人。≒佞奸〈漢字ペディア〉",ねいかん,口先がうまく心がねじけていること。
A2426,◆３,挈瓶,"挈瓶（けつべい、けっぺい、けつぺい）
┌ちっぽけなもののたとえ。〈漢字源〉
┌1.水をくむための小さな、かめ。わずかな知識のたとえ。
└2.かめを手にして水をくむ。〈漢辞海〉
★挈瓶の智(ﾁ)…小知のたとえ。〈新大字典〉",けつべい、けっぺい、けつぺい,ちっぽけなもののたとえ。
A2427,◆３,蹇躓,"蹇躓（けんち）
┌つまずきなやむ。物事に失敗すること。また、そのような人。〈新漢和大字典〉
┌1.物事が順調に運ばないさま。
├2.ことばがなめらかでないさま。
└3.のろい馬。〈漢辞海〉",けんち,つまずきなやむ。物事に失敗すること。また、そのような人。
A2428,◆３,譏揣,"譏揣（きし）
┌人の長所･短所を非難してもみくしゃにする。〈漢字源〉
┌人の長短を論評する。〈字通〉
┌人の長短を批評し、そしる。〈漢辞海〉",きし,人の長所･短所を非難してもみくしゃにする。
A2429,◆３,綏綏,"綏綏（すいすい）
┌1.尾を垂れさげるさま。
├2.連れ立っていくさま。
├3.上から下へと雨や雪が降るさま。
└4.やすらかに落ち着いたさま。〈新漢和大字典〉
┌夊夊(ｽｲｽｲ)、ぶらぶら歩き。〈字通〉",すいすい,尾を垂れさげるさま。連れ立っていくさま。上から下へと雨や雪が降るさま。やすらかに落ち着いたさま。
A2430,◆３,鉄鐺,"鉄鐺（てっそう）
┌鉄鍋。〈字通〉
┌三足ある鍋。〈字源〉
★漢字ペディアを見れば「鐺」は「トウ」「ソウ」の二音を載せている。読み分けの言及はなく、大見出しには「茶鐺（チャトウ）」、漢検四字熟語辞典には「鼎鐺玉石（テイソウギョクセキ）」、そして過去に出題されたものとして「鐺裏」を読む問題があるが、標準解答は「トウリ」のみと各所でバラバラ。旁(ﾂｸﾘ)が「当」の旧字にあたるので、「トウ」読みは慣用音ではないかとは思ったが根拠はない。（〈漢字源〉〈新大字典〉などでは「トウ」と「ソウ」で読み分けがされている）",てっそう,鉄鍋。
A2431,◆３,砌塡,"砌塡（せいてん）
きざはしをうずめる。空所を埋める。〈字通〉",せいてん,きざはしをうずめる。空所を埋める。
A2432,◆３,匡翊,"匡翊（きょうよく）
ただしたすける。≒匡翼〈字通〉",きょうよく,ただしたすける。
A2433,◆３,斎粥,"斎粥（さいしゅく）
仏語。仏家で朝と昼に食べる食事。また、法会のおり、供される食事。〈日本国語大辞典〉",さいしゅく,仏語。仏家で朝と昼に食べる食事。また、法会のおり、供される食事。
A2434,◆３,斗斛,"斗斛（とこく）
┌1.ます。
└2.一斗と一石。わずかな分量のたとえ。〈漢字源〉
┌斛は十斗。僅少のものをいう。〈字通〉",とこく,ます。一斗と一石。わずかな分量のたとえ。
A2435,◆３,銜枚,"銜枚（かんばい、がんばい）
┌枚(ﾊﾞｲ:口木)を口に含ませ両端に紐をつけて首の後に結びつけ、進軍中の談話を禁ずる。また、馬の鳴くを防ぐために用いる。〈字源〉
┌1.枚(ﾊﾞｲ:箸のような木片)を含む。奇襲の際、兵士や馬の口に枚を加えさせ、声を立てるのを防いだ。
├2.口をつぐむ。
└3.無音のさま。〈漢辞海〉",かんばい、がんばい,枚を口に含ませ両端に紐をつけて首の後に結びつけ、進軍中の談話を禁ずる。また、馬の鳴くを防ぐために用いる。
A2436,◆３,曄曄,"曄曄（ようよう）
┌赤赤とかがやくさま。〈漢字源〉
┌かがやくように美しいさま。〈字通〉",ようよう,赤赤とかがやくさま。
A2437,◆３,翕忽,"翕忽（きゅうこつ）
┌急におこり、ふと消える。変化･移動がすばやいさま。〈新漢和大字典〉
┌すみやかなさま。〈字通〉",きゅうこつ,急におこり、ふと消える。変化･移動がすばやいさま。
A2438,◆３,枕簟,"枕簟（ちんてん）
┌まくらと、むしろ。転じて、寝具のこと。〈漢字源〉
┌まくらと。たかむしろと。寢具。〈字源〉",ちんてん,まくらと、むしろ。転じて、寝具のこと。
A2439,◆３,翕赫,"翕赫（きゅうかく）
┌物事の盛んで激しいさま。〈新漢和大字典〉
┌盛んなさま。〈字通〉",きゅうかく,物事の盛んで激しいさま。
A2440,◆３,矜驕,"矜驕（きょうきょう）
┌ほこりたかぶる。自信が強い。〈漢字源〉
┌ほこりおごること。矜邁(ｷｮｳﾏｲ)。〈新大字典〉
┌おごり高ぶる。≒矜高〈漢辞海〉",きょうきょう,ほこりたかぶる。自信が強い。
A2441,◆３,沛乎,"沛乎（はいこ）
┌盛んに広がるさま。〈漢字源〉
┌盛んなさま。〈字通〉",はいこ,盛んに広がるさま。
A2442,◆３,鸞軫,"鸞軫（らんしん）
┌天子の乗り物。〈新漢和大字典〉
┌天子が乗る車。≒鸞車、鸞駕、鸞輿、鸞路、鸞輅〈漢辞海〉",らんしん,天子の乗り物。
A2443,◆３,沿泝,"沿泝（えんそ）
┌川をくだることとさかのぼること。〈漢字源〉
┌流れに沿うて上下する。〈字通〉",えんそ,川をくだることとさかのぼること。
A2444,◆３,浹辰,"浹辰（しょうしん）
┌十二日間。十二支の子から亥までのひと巡りの意。〈漢辞海〉
┌十二日間。十二支の子から亥までのひとめぐりの意。〈漢字源〉
┌十二支一巡。十二日。〈字通〉
┌一二日間。短時日の間の意にも用いる。〈日本国語大辞典〉",しょうしん,十二日間。十二支の子から亥までのひと巡りの意。
A2445,◆３,覘伺,"覘伺（てんし）
さぐる。〈字通〉",てんし,さぐる。
A2446,◆３,貝勒,"貝勒（ばいろく）
┌1.貝殻で飾った馬のくつわ。
└2.中国、清朝皇族に与えられた第三等の爵位。〈大辞泉〉
┌貝殻で飾ったウマのくつわ。〈漢字ペディア〉",ばいろく,貝殻で飾った馬のくつわ。中国、清朝皇族に与えられた第三等の爵位。
A2447,◆３,驍悍,"驍悍（ぎょうかん）
┌気性が荒くて強い。〈新漢和大字典〉
┌気性が激しく力が強いこと。勇猛であるさま。勇悍。〈日本国語大辞典〉",ぎょうかん,気性が荒くて強い。
A2448,◆３,蝎蠹,"蝎蠹（かつと）
損害を与える。〈字通〉",かつと,損害を与える。
A2449,◆３,煢釐,"煢釐（けいり）
┌夫と死別した妻。未亡人。やもめ。〈漢字源〉
┌やもめ。〈字通〉",けいり,夫と死別した妻。未亡人。やもめ。
A2450,◆３,蹇驢,"蹇驢（けんろ）
足の不自由な驢馬(ﾛﾊﾞ)。〈新漢和大字典〉",けんろ,足の不自由な驢馬。
