ID,難易度,問題,指定,語群,解答,問題熟語の意味,解答熟語の意味
H0558,2,【匡弼】,類義語,"けいゆう
けんがく
ひほ",裨補,"▼【匡弼】キョウヒツ
誤りをただし、欠けたところを補い助けること。また、その人。≒匡輔〈漢字ペディア〉","▼〔裨補〕ヒホ
不足している部分を補って、助けること。たすけ。〈漢字ペディア〉"
H0559,2,【境内】,類義語,"かき
ぼんぜい
そうゆ",梵砌,"▼【境内】ケイダイ
神社･寺院の敷地の中。〈漢字ペディア〉","▼〔梵砌〕ボンゼイ
寺院の境内。〈漢字ペディア〉"
H0560,2,【業腹】,類義語,"じょくち
しんきゅう
ふんまん","忿懣
憤懣","▼【業腹】ゴウはら
非常にくやしくて腹の立つこと。怒りにたえないこと。いまいましいこと。〈漢字ペディア〉","▼〔忿懣／憤懣〕フンマン
いきどおり、もだえること。心のなかにわだかまっている怒り。≒憤悶〈漢字ペディア〉"
H0561,2,【玉体】,類義語,"せいきゅう
わいく
しょうこう",聖躬,"▼【玉体】ギョクタイ
1.玉のように美しいからだ。
2.天子または貴人のからだ。
3.他人を敬って、そのからだをいう語。〈大辞泉〉","▼〔聖躬〕セイキュウ
天子の体。≒玉体、聖体〈漢字ペディア〉"
H0562,2,【寓意】,類義語,"ふうゆ
ひょうぼう
るこつ","諷喩
風諭
諷諭
風喩","▼【寓意】グウイ
他の物事にかこつけて、ある意味をそっと示すこと。また、その意味。アレゴリー。≒寓喩〈漢字ペディア〉","▼〔諷喩／風諭／諷諭／風喩〕フウユ
遠回しにそれとなくさとすこと。たとえだけを示して、本当の意味を推察させたりすること。〈漢字ペディア〉"
H0563,2,【薫染】,類義語,"じゃこう
しんしゃ
こうけち",親炙,"▼【薫染】クンセン
香気がうつりしみること。転じて、よい感化を受けること。〈日本国語大辞典〉","▼〔親炙〕シンシャ／シンセキ
その人に親しく接して影響を受け、感化されること。〈漢字ペディア〉"
H0564,2,【啓閉】,類義語,"せきれき
ばっこ
かいこう",開闔,"▼【啓閉】ケイヘイ
1.開くことと閉じること。あけたて。開閉。
2.啓と閉。すなわち、立春･立夏と立秋･立冬。〈日本国語大辞典〉","▼〔開闔〕カイコウ
1.開くことと閉じること。≒開閉
2.平安時代以降、書物の出納や文書を扱った役人。〈漢字ペディア〉"
H0565,2,【恵与】,類義語,"しごう
せんきゅう
さんじゅん",贍給,"▼【恵与】ケイヨ
1.恵み与えること。
2.人から物を与えられたことをいう尊敬語。≒恵贈、恵投〈漢字ペディア〉","▼〔贍給〕センキュウ
不足をおぎない、めぐみ与えること。〈漢字ペディア〉"
H0566,2,【敬老】,類義語,"きゅうじょう
しょうし
かいきゅう",尚歯,"▼【敬老】ケイロウ
老人をうやまい、いたわること。〈漢字ペディア〉","▼〔尚歯〕ショウシ
老人を尊敬すること。≒敬老〈漢字ペディア〉
★「歯」は年齢の意。"
H0567,2,【撃壌】,類義語,"そうじょう
きでん
がいあん","乂安
艾安","▼【撃壌】ゲキジョウ
1.大地、または壌という楽器をうつこと。特に、「撃壌の歌」の故事から、世の中が平和なことを表わすのに用いる。
2.木製の、沓形の木を土の上におき、三、四十歩離れた所から別の木を投げてあてる中国の遊戯。げたうち。〈日本国語大辞典〉","▼〔乂安／艾安〕ガイアン／カイアン
世の中が治まって安らかなこと。〈漢字ペディア〉"
H0568,2,【欠点】,類義語,"かし
きんげき
こくさい",瑕疵,"▼【欠点】ケッテン
1.補うべきところ。短所。≒弱点、⇔美点
2.落第点。〈漢字ペディア〉","▼〔瑕疵〕カシ
1.きず。欠点。
2.法的に欠陥や欠点があり、完全な条件を備えていない状態。〈漢字ペディア〉"
H0569,2,【剣尖】,類義語,"ほうぼう
もうどう
さつど","鋒鋩
鋒芒","▼【剣尖】ケンセン
刀剣のきっさき。剣先(けんさき)。〈日本国語大辞典〉","▼〔鋒鋩／鋒芒〕ホウボウ
1.刀やほこなどの先。切っ先。ほこさき。
2.鋭い気性や言葉のたとえ。〈漢字ペディア〉"
H0570,2,【懸河】,類義語,"えんげん
しゅうけい
ほんたん",奔湍,"▼【懸河】ケンガ
傾斜のはげしい土地を流れ下る川。急流。〈漢字ペディア〉","▼〔奔湍〕ホンタン
勢いの激しい流れ。また、流れのはやい川。早瀬。急流。≒奔流〈漢字ペディア〉"
H0571,2,【硯北】,類義語,"すいこう
きか
せきとく","几下
机下","▼【硯北／研北】ケンポク
手紙のあて名の脇(ﾜｷ)に添えて敬意を表す語。「おそば」の意。≒机下、座下〈漢字ペディア〉
★南向きに机に座ると、人は机上の硯(ｽｽﾞﾘ)の北に位置することから。","▼〔几下／机下〕キカ
手紙のあて名に添える脇付(ﾜｷﾂﾞｹ)の尊敬語。相手の机の下に差し出す意で、相手のあて名の左下に書く。≒案下、侍史〈漢字ペディア〉"
H0572,2,【軒冕】,類義語,"しんしん
かいらん
すいこく",縉紳,"▼【軒冕】ケンベン
1.貴人の車と冠。
2.転じて、高位、高官。高位の官職。また、その人。〈日本国語大辞典〉","▼〔縉紳〕シンシン
官位･身分の高い人。転じて、紳士。〈漢字ペディア〉
★礼装で笏(ｼｬｸ)を大帯にさしはさむ人の意。"
H0573,2,【古蹟】,類義語,"かんもん
ときゅう
きゅうし","旧址
旧趾","▼【古蹟／古跡】コセキ
歴史上の事件や建物などがあった場所。≒旧跡、遺跡、古址〈漢字ペディア〉","▼〔旧址／旧趾〕キュウシ
歴史上知られた出来事や建物などがあった所。≒旧跡、旧蹟〈漢字ペディア〉"
H0574,2,【鼓譟】,類義語,"とっかん
げきぜつ
げきじょう",吶喊,"▼【鼓譟／鼓噪／鼓騒】コソウ
戦場で、士気を高めるために太鼓を打ち鳴らして騒ぐこと。鬨(ﾄｷ)の声をあげること。〈漢字ペディア〉","▼〔吶喊〕トッカン
1.大勢が大声で叫ぶこと。鬨(とき)の声をあげること。
2.大声を発しながら、敵陣に突撃すること。≒突貫〈漢字ペディア〉"
H0575,2,【後胤】,類義語,"のうせき
えいそん
しゅくそ",裔孫,"▼【後胤】コウイン
子孫。≒後裔〈漢字ペディア〉","▼〔裔孫〕エイソン
遠い末の子孫。子や孫よりもあとの血筋。≒末裔、後裔、⇔先祖、元祖、初祖〈漢字ペディア〉"
H0576,2,【御食】,類義語,"ぜんじ
せいじん
しんせん",神饌,"▼【御食／御饌】みけ
1.神への供え物。≒神饌
2.天皇の食事の材料。〈漢字ペディア〉","▼〔神饌〕シンセン
神にそなえる飲食物。稲･酒･米や野菜･魚介類･塩や水など。御饌(ﾐｹ)。≒供物〈漢字ペディア〉"
H0577,2,【梧右】,類義語,"せいか
しょそ
けいろく",砌下,"▼【梧右】ゴユウ
紙のあて名のわきに添えて敬意を表す語。≒机下、梧下〈漢字ペディア〉
★梧桐(ｱｵｷﾞﾘ)でできた机のわきの意から。","▼〔砌下〕セイカ
1.石の階段の下のあたり。
2.軒下の雨だれを受けるための敷石。
3.手紙の脇(ﾜｷ)づけに用いて敬意を示す語。≒足下〈漢字ペディア〉"
H0578,2,【光来】,類義語,"のうせき
おうこ
きょうじつ",枉顧,"▼【光来】コウライ
人が来訪することを敬っていう語。おいで。光臨。〈漢字ペディア〉","▼〔枉顧〕オウコ
貴人が乗り物の方向を変えて自分を顧みる意から、人の来訪を敬っていう語。≒枉駕〈漢字ペディア〉"
H0579,2,【公廨】,類義語,"かいきょく
かんが
しどう",官衙,"▼【公廨】クガイ／クゲ／クカイ／コウカイ
1.役所。また、その建物。
2.政府の所有物。役所の費用・物品・田地など。〈漢字ペディア〉","▼〔官衙〕カンガ
役所。官庁。〈漢字ペディア〉"
H0580,2,【康衢】,類義語,"きゅうしょう
とんぐう
たいき",大逵,"▼【大逵】タイキ
広く大きな四辻(ﾖﾂﾂｼﾞ)。大通り。大路(ｵｵｼﾞ)。〈漢字ペディア〉","▼〔康衢〕コウク
にぎやかな大通り。"
H0581,2,【控御】,類義語,"きんしょう
へんちゅつ
こうきょ",擒縦,"▼【控御／控馭】コウギョ
馬を自分の思うままにあやつること。馬を巧みに取り扱うこと。転じて、人を巧みにあやつること。人を思うままに動かすこと。〈日本国語大辞典〉","▼〔擒縦〕キンショウ
とらえることと自由に放つこと。転じて、自在に扱うこと。〈漢字ペディア〉"
H0582,2,【構陥】,類義語,"せんたく
しっとう
ざんぶ",讒誣,"▼【構陥】コウカン
事実をまげたり偽ったりして人を悪く言い、罪におとしいれること。〈日本国語大辞典〉","▼〔讒誣〕ザンブ／ザンプ
ありもしないことを言って非難すること。〈漢字ペディア〉"
H0583,2,【構陥】,類義語,"ねいゆ
ちゅうばつ
せいかん",擠陥,"▼【構陥】コウカン
事実をまげたり偽ったりして人を悪く言い、罪におとしいれること。〈日本国語大辞典〉","▼〔擠陥〕セイカン
人を罪におとし入れること。〈日本国語大辞典〉"
H0584,2,【甲乙】,類義語,"けんち
きっしん
しりん",軒輊,"▼【甲乙】コウオツ
1.ものの順序や優劣。
2.だれかれ。〈漢字ペディア〉","▼〔軒輊〕ケンチ
上がり下がり。軽重。高低。優劣。〈漢字ペディア〉
★「軒」は車の前が高い、「輊」は車の前が低い意。"
H0585,2,【甲声】,類義語,"れいろう
きゅうじょ
れっぱく",裂帛,"▼【甲声】カンごえ
高く響いて聞こえる声。高く鋭い声。かん高い声。〈漢字ペディア〉","▼〔裂帛〕レッパク
絹を引き裂くこと。また、その音。鋭い掛け声や女性のかん高い叫び声などの形容。〈漢字ペディア〉"
H0586,2,【皇謨】,類義語,"ちゅうこう
けいしつ
せいゆう",聖猷,"▼【皇謨】コウボ
天皇が国家を統治する計画。〈大辞泉〉","▼〔聖猷〕セイユウ
天子のはかりごと。≒聖謨〈漢字ペディア〉"
H0587,2,【耕地】,類義語,"じょうよ
ねんぽ
でんちゅう","田疇
田畴","▼【耕地】コウチ
たがやして作物を栽培するための土地。耕作地。〈漢字ペディア〉","▼〔田疇〕デンチュウ
1.耕作地。田と畑。
2.田畑のあぜ。〈漢字ペディア〉"
H0588,2,【荒耽】,類義語,"ちょうこうぜつ
はんちつ
ちんめん",沈湎,"▼【荒耽】コウタン
酒色に溺れ、すさんだ生活をする。≒荒淫〈漢辞海〉","▼〔沈湎〕チンメン
酒におぼれて、すさんだ不健康な生活をすること。〈漢字ペディア〉"
H0589,2,【高御座】,類義語,"ほうそ
ぼろんじ
じんぎ",宝祚,"▼【高御座】たかみくら
1.即位などの儀式に用いられた天皇の席。玉座。
2.天皇の位。〈漢字ペディア〉","▼〔宝祚〕ホウソ
天子の位。≒丕祚〈漢字源〉
天子の位。帝位。帝座。〈漢辞海〉
天子の位。あまつひつぎ。≒皇位、玉座〈漢字ペディア〉"
H0590,2,【高邁】,類義語,"けいてき
はいしょ
しゅんしょう",峻峭,"▼【高邁】コウマイ
人格などがけだかくすぐれているようす。〈漢字ペディア〉","▼〔峻峭〕シュンショウ
1.山などがけわしいこと。≒峭峻
2.厳しいこと。
3.気高くすぐれていること。〈漢字ペディア〉"
H0591,2,【豪商】,類義語,"けいか
たいこ
きょうりん",大賈,"▼【豪商】ゴウショウ
大資本で手広く商売を営み、大きな利益をあげる商人。大商人。おおあきんど。〈漢字ペディア〉","▼〔大賈〕タイコ
財産の多い商人。大商人。豪商。〈漢字ペディア〉"
H0592,2,【獄舎】,類義語,"きょうかん
とそう
れいぎょ","囹圄
囹圉","▼【獄舎】ゴクシャ
囚人を閉じこめておく建物。牢獄。ろうや。〈漢字ペディア〉","▼〔囹圄／囹圉〕レイギョ／レイゴ
罪人を捕えて、閉じこめておく所。ひとや。牢屋。れいご。〈日本国語大辞典〉"
H0593,2,【此岸】,類義語,"えど
きょうゆう
ねはん",穢土,"▼【此岸】シガン
(仏)この世。悩みや迷いの多い現世。≒此土、⇔彼岸〈漢字ペディア〉","▼〔穢土〕エド
(仏)けがれた世界。この世。人間界。娑婆。⇔浄土〈漢字ペディア〉"
H0594,2,【困却】,類義語,"へきえき
きんりょう
しへい","辟易
僻易","▼【困却】コンキャク
困りはてること。すっかり困ること。≒困惑、困窮〈漢字ペディア〉","▼〔辟易／僻易〕ヘキエキ
1.勢いや困難に押されて立ちのいたり、しりごみしたりすること。
2.手におえなくて困ること。〈漢字ペディア〉
★道を辟(ｻ)けて所を易(ｶ)える意。"
H0595,2,【根蔕】,類義語,"ひぎょう
たんげい
きし","基址
基趾
基阯","▼【根蔕】コンタイ／コンテイ
物事の土台。よりどころ。根拠。〈大辞泉〉
★根と蔕(ﾍﾀ)の意から。","▼〔基址／基趾〕キシ
土台。いしずえ。もとい。≒基礎〈漢字ペディア〉"
H0596,2,【才媛】,類義語,"きしゅう
りゅうじょ
けいしゅう",閨秀,"▼【才媛】サイエン
すぐれた才能や学問のある女性。≒才女〈漢字ペディア〉","▼〔閨秀〕ケイシュウ
学問や芸術にすぐれた女性。〈漢字ペディア〉"
H0597,2,【策励】,類義語,"じんじょう
せいちゅう
べんち",鞭笞,"▼【策励】サクレイ
励ますこと。また、大いに励むこと。〈日本国語大辞典〉","▼〔鞭笞〕ベンチ
1.革のむちと竹のむち。
2.むち打つこと。むち打って戒めること。≒鞭撻〈漢字ペディア〉"
H0598,2,【斬馘】,類義語,"ふんけい
いし
ここう","刎頸
刎頚","▼【斬馘】ザンカク
敵人のくびをきる。≒斬首〈字源〉","▼〔刎頸〕フンケイ
首をはねること。首を切ること。斬首。〈漢字ペディア〉"
H0599,2,【刺譏】,類義語,"きぼう
ちゅうばつ
かげん","毀謗
譏謗","▼【刺譏】シキ
他人をそしること。そしり。非難。","▼〔毀謗〕キボウ
そしること。けなすこと。≒誹謗〈漢字ペディア〉"
H0600,2,【子煩悩】,類義語,"こうぎょ
きゅうぜん
しとく",舐犢,"▼【子煩悩】コボンノウ
自分の子を非常にかわいがり大切にすること。また、その人。〈漢字ペディア〉","▼〔舐犢〕シトク
親牛が子牛を愛しなめてやること。転じて、親が子をかわいがること。〈日本国語大辞典〉"
H0601,2,【指南】,類義語,"けいてき
ちたつ
ほくい",啓迪,"▼【指南】シナン
教え導くこと。〈漢字ペディア〉
★古代中国の、常に南を指さす人形をのせた車、指南車から。","▼〔啓迪〕ケイテキ
教え導くこと。啓発すること。〈漢字ペディア〉"
H0602,2,【慈愍】,類義語,"しゃしょく
せいげつ
きょうじゅつ","矜恤
矜卹","▼【慈愍】ジビン
いつくしみあわれむこと。かわいがり、愛すること。じみん。〈日本国語大辞典〉","▼〔矜恤〕キョウジュツ
あわれんで恵むこと。≒憐恤〈漢字ペディア〉"
H0603,2,【時疫】,類義語,"せきあ
えきれい
ばんしょう",疫癘,"▼【時疫】ジエキ
流行病。はやりやまい。ときのけ。〈日本国語大辞典〉","▼〔疫癘〕エキレイ
悪性の感染症。疫病。はやりやまい。えやみ。〈漢字ペディア〉"
H0604,2,【疾駆】,類義語,"ちてい
しゅくしょう
しゅうう",馳騁,"▼【疾駆】シック
馬や車をはやく走らせること。また、はやく走ること。疾走。","▼〔馳騁〕チテイ
1.馬を速く走らせること。馬でかけ回ること。また、狩猟をすること。
2.あるものを支配すること。〈漢字ペディア〉"
H0605,2,【蛇足】,類義語,"ぜいゆう
ゆうぶつ
てんせい","贅疣
贅肬","▼【蛇足】ダソク／ジャソク
あっても意味のない余分なもの、また無益でよけいな行為のたとえ。〈漢字ペディア〉
★蛇を書く競争で足まで書き加えて負けたという故事から。","▼〔贅疣／贅肬〕ゼイユウ
1.こぶと、いぼ。無用な肉。贅肉。
2.余分なもの。無駄なもの。〈漢字ペディア〉"
H0606,2,【邪婬】,類義語,"わいせつ
ぶあい
ていせい",猥褻,"▼【邪婬／邪淫】ジャイン
1.不正でみだらなこと。不道徳。
2.(仏)五悪の一つ。男女の不正な性的関係。〈漢字ペディア〉","▼〔猥褻〕ワイセツ
みだらなこと。性に関するいやらしいこと。〈漢字ペディア〉"
H0607,2,【寂寞】,類義語,"きゅうりゅう
たいよう
しょうりょう",蕭寥,"▼【寂寞／寂漠】セキバク／ジャクマク
1.ひっそりとしてもの静かなさま。
2.心が満たされず、ものさびしいさま。〈漢字ペディア〉","▼〔蕭寥〕ショウリョウ
もの静かで、寒々しいようす。≒寂寥〈漢字ペディア〉"
H0608,2,【守役】,類義語,"えいげん
しふ
ようじゅ",師傅,"▼【守役】もりやく
もりをする役。かしずきをする役。また、その役の人。〈日本国語大辞典〉","▼〔師傅〕シフ
1.太師と太傅。共に帝王を補佐する官。
2.貴人の子を養育しながら教導する役。また、その人。もりやく。〈日本国語大辞典〉"
H0609,2,【手簡】,類義語,"こうこつかん
しょとく
せきりょう",書牘,"▼【手簡／手翰】シュカン
手紙。書状。〈漢字ペディア〉","▼〔書牘〕ショトク
手紙。書簡。書状。≒尺牘〈漢字ペディア〉"
H0610,2,【受胎】,類義語,"かいよう
もくし
どんが",懐孕,"▼【受胎】ジュタイ
体内に子をやどすこと。身ごもること。妊娠すること。≒懐妊〈漢字ペディア〉","▼〔懐孕〕カイヨウ
子をはらむこと。懐妊。懐胎。〈大辞泉〉"
H0611,2,【呪詛】,類義語,"そんい
ろういん
ふこ",巫蠱,"▼【呪詛】ジュソ／ズソ
特定の人に災いがふりかかるように神仏に祈願すること。のろい。〈漢字ペディア〉","▼〔巫蠱〕フコ
みこやまじない師。また、神に祈ったり、まじないをしたりして人をのろうこと。〈漢字ペディア〉
★「蠱」は、まじないで人をのろう者の意。"
H0612,2,【就縛】,類義語,"きえ
むび
るいせつ","縲絏
縲紲","▼【就縛】シュウバク
罪人などが、つかまって縛られること。縄目にかかること。〈日本国語大辞典〉","▼〔縲絏／縲紲〕ルイセツ
罪人として獄に入れられること。縄目にかかること。〈漢字ペディア〉"
H0613,2,【衆庶】,類義語,"れいしゅ
しょうふく
ぐぜい",黎首,"▼【衆庶】シュウショ
世間の多くの人々。一般の民衆。庶民。〈漢字ペディア〉","▼〔黎首〕レイシュ
≒黎元(ﾚｲｹﾞﾝ:人民。万民。たみ。黎民)〈日本国語大辞典〉"
H0614,2,【充棟】,類義語,"こうかん
しょうじょう
がいせつ",浩瀚,"▼【充棟】ジュウトウ
棟木(ﾑﾅｷﾞ)に届くほど書物が多いこと。汗牛充棟。〈日本国語大辞典〉","▼〔浩瀚〕コウカン
1.水などの広大なようす。
2.書物のページ数や巻数が多いこと。〈漢字ペディア〉"
H0615,2,【戎器】,類義語,"へいじょう
こし
ひわい",兵仗,"▼【戎器】ジュウキ
戦争で用いる道具。武器や兵器。〈漢字ペディア〉","▼〔兵仗〕ヘイジョウ／ヒョウジョウ
1.いくさに用いる道具。≒兵器、武器
2.武器を持って護衛する兵士。〈漢字ペディア〉"
H0616,2,【戎蛮】,類義語,"きんかく
かくじゅ
いてき",夷狄,"▼【戎蛮】ジュウバン
1.春秋時代の民族名。蛮氏(ﾊﾞﾝｼ)にこと。楚に滅ぼされた。
2.異民族。","▼〔夷狄〕イテキ
1.未開人、または野蛮人。えびす。
2.外国人をさげすみ、敵視していう語。〈漢字ペディア〉
★昔、中国で東方の蛮族を「夷」、北方の蛮族を「狄」といったことから。"
H0617,2,【術数】,類義語,"せんてい
せんせん
ちゅうさく","籌策
籌筴","▼【術数】ジュッスウ
はかりごと。策略。計略。〈漢字ペディア〉","▼〔籌策／籌筴〕チュウサク
はかりごと。また、はかりごとをめぐらすこと。≒籌画･籌略〈漢字ペディア〉"
H0618,2,【巡視】,類義語,"けいら
ちゅうひつ
せんぴつ",警邏,"▼【巡視】ジュンシ
見まわって調べること。 ＝巡察、巡閲、巡回〈漢字ペディア〉","▼〔警邏〕ケイラ
非常事態に備えて見回りをすること。また、その人。パトロール。〈漢字ペディア〉"
H0619,2,【勝敗】,類義語,"げつべつ
しゅえい
へんじゅう",輸贏,"▼【勝敗】ショウハイ
勝つことと負けること。勝ち負け。≒勝負〈漢字ペディア〉","▼〔輸贏〕シュエイ／ユエイ
勝ち負け。≒勝敗〈漢字ペディア〉"
H0620,2,【升遐】,類義語,"とうごく
あんが
せんそ",晏駕,"▼【升遐／昇遐／昇霞】ショウカ
帝など、貴人が死ぬこと。登遐。昇霞。〈日本国語大辞典〉
★「遐」は、遠く遥かである意。はるかな天にのぼる意から。","▼〔晏駕〕アンガ
天子が逝去すること。≒崩御〈漢字ペディア〉
★天子の柩(ﾋﾂｷﾞ)を乗せた車が日暮れてから出発する意。一説に、天子が死んで、朝廷へのお出ましがないのを遠まわしにいった語。"
H0621,2,【招提】,類義語,"ぼんせつ
ぶつがん
げいか",梵刹,"▼【招提】ショウダイ
(仏)寺院の別称。僧が四方より集まり来る所。〈漢字ペディア〉
★梵語(ﾎﾞﾝｺﾞ)の音訳で、四方の意から。","▼〔梵刹〕ボンセツ／ボンサツ
(仏)寺。寺院。〈漢字ペディア〉"
H0622,2,【松明】,類義語,"はしょく
こうりょう
きょか",炬火,"▼【松明】たいまつ／ショウメイ
松の樹脂の多い部分にタケ、アシなどを束ね、火をつけて屋外用の照明具としたもの。まつ。〈漢字ペディア〉","▼〔炬火〕キョカ／コカ
かがり火。たいまつ。≒炬燭(ｷｮｼｮｸ)〈漢字ペディア〉"
H0623,2,【燭台】,類義語,"えんてつ
かんもく
とうけい",灯檠,"▼【燭台】ショクダイ
ろうそくを立て、あかりをともすための台。≒燭架(ｼｮｯｶ)、灯台〈漢字ペディア〉","▼〔灯檠〕トウケイ
灯火の油皿をのせる台。灯台。≒燭台〈漢字ペディア〉"
H0624,2,【寝台】,類義語,"じょくげつ
きんしょう
がとう",臥榻,"▼【寝台】シンダイ
1.上にふとん･マットレスなどを敷いて寝る長方形の台。木製、鉄製などがある。ベッド。ねだい。
２｡特に、夜行列車で、横になって寝られるように設備したもの。また、その席や列車。〈漢字ペディア〉","▼〔臥榻〕ガトウ
寝台。ねどこ。ベッド。〈漢字ペディア〉"
H0625,2,【薪水】,類義語,"すいさん
そうたい
きしゅう",炊爨,"▼【薪水】シンスイ
1.たきぎと水。
2.たきぎを拾い水をくむ。転じて、炊事のこと。〈漢字ペディア〉","▼〔炊爨〕スイサン
飯をたくこと。また、食事の仕度をすること。〈漢字ペディア〉"
H0626,2,【震盪】,類義語,"けんどう
こうかく
せんどう",顫動,"▼【震盪／震蕩／振盪】シントウ
ふるい動かすこと。また、激しくふるえ動くこと。〈漢字ペディア〉","▼〔顫動〕センドウ
寒さや恐れのために、小刻みにふるえて動くこと。〈漢字ペディア〉"
H0627,2,【迅瀬】,類義語,"ひばく
きゅうたん
らいめい",急湍,"▼【迅瀬】ジンライ
流れのはやい瀬。はやせ。急湍。〈日本国語大辞典〉","▼〔急湍〕キュウタン
川の流れが速く浅い所。早瀬。≒急流、急灘〈漢字ペディア〉"
H0628,2,【図章】,類義語,"ちゅうしょ
いしん
いんか",印顆,"▼【図章】ズショウ
はん、印章。〈字源〉","▼〔印顆〕インカ
印材に、姓名･官職名などを彫ったもの。印章。印判。〈漢字ペディア〉"
H0629,2,【推察】,類義語,"けんさん
そんたく
きゅうそう",忖度,"▼【推察】スイサツ
他人の事情や心中をおしはかって考えること。また、そのようにして得られた考え。≒推量、推考、想察〈漢字ペディア〉","▼〔忖度〕ソンタク
他人の心をおしはかること。≒推察〈漢字ペディア〉"
H0630,2,【随筆】,類義語,"るいぶん
こしょう
さっき","箚記
劄記","▼【随筆】ズイヒツ
見聞･体験や感想などを、気のむくまま筆にまかせて書いた文章。エッセイ。≒随想、漫筆〈漢字ペディア〉","▼〔箚記〕サッキ／トウキ
読書して得た感想や考えなどを、随時しるしたもの。随想録。〈漢字ペディア〉"
H0631,2,【雀躍】,類義語,"きこく
べんぶ
ひり",抃舞,"▼【雀躍】ジャクヤク／こおどり
雀が躍るようにこおどりしてよろこぶこと。欣喜雀躍。〈日本国語大辞典〉","▼〔抃舞〕ベンブ
手をうって喜び、舞いおどるさま。〈漢字ペディア〉"
H0632,2,【寸陰】,類義語,"しゅゆ
ようかん
きんか",須臾,"▼【寸陰】スンイン
「一寸の光陰」の略。わずかな時間。≒寸時、寸刻〈漢字ペディア〉","▼〔須臾〕シュユ／スユ
しばらく。少しの間。寸刻。〈漢字ペディア〉"
H0633,2,【成敗】,類義語,"てんちゅう
しょうご
さんちょう",天誅,"▼【成敗】セイバイ
1.裁くこと。裁判。
2.処罰すること。こらしめること。
3.昔、罪人などを打ち首にしたこと。〈漢字ペディア〉","▼〔天誅〕テンチュウ
1.天が下す罰。≒天罰
2.天に代わって悪人の罪を責め、罰を加えること。また、その罰。〈漢字ペディア〉"
H0634,2,【清流】,類義語,"けんだん
ひんぷ
かちゅう","華胄
華冑","▼【清流】セイリュウ
1.きれいに澄んだ水の流れ。⇔濁流
2.高潔な人。清らかな人。
3.高貴な家柄やその出身者。〈漢字ペディア〉","▼〔華胄〕カチュウ
貴い家柄。名門。〈漢字ペディア〉
★胄（世継ぎ）と冑（かぶと）は厳密には別字とされ⺝部と冃部の違いがあるが、本試験の解答に於いてはどちらで書いても許容となる。ただし、当然字訓は異なるため読む際には「⺝／冃」を区別できるよう本試テキストを注視すること。"
H0635,2,【聖寿】,類義語,"いとく
ほうさん
ようせつ",宝算,"▼【聖寿】セイジュ
天子・天皇の年齢や寿命。〈漢字ペディア〉","▼〔宝算〕ホウサン
天皇の年齢の尊称。≒聖算、聖寿〈漢字ペディア〉"
H0636,2,【赤子】,類義語,"こうそ
ようがい
そうせき",幼孩,"▼【赤子】セキシ
1.「赤子(あかご)」に同じ。
2.天子･国王からみて、人民をその子にたとえていう語。国民。〈漢字ペディア〉","▼〔幼孩〕ヨウガイ
あかご。ちのみご。みどりご。〈漢字ペディア〉"
H0637,2,【赤面】,類義語,"ちんめん
ざんねい
たんがん",赧顔,"▼【赤面】セキメン
恥ずかしさや緊張などによって顔を赤くすること。また、その顔。〈漢字ペディア〉","▼〔赧顔〕タンガン
恥ずかしくて顔をあからめること。≒赧面、赤面〈漢字ペディア〉"
H0638,2,【拙僧】,類義語,"やこぜん
こうげん
やのう",野衲,"▼【拙僧】セッソウ
自称。僧が自分をへりくだっていう語。愚僧。〈日本国語大辞典〉","▼〔野衲〕ヤノウ
1.田舎の僧。≒野僧
2.僧侶が自分を謙遜していう語。拙僧。≒野僧〈漢字ペディア〉
★「衲」は僧の衣、転じて僧の意。"
H0639,2,【雪膚】,類義語,"こうぜん
がいがい
はくせき",白皙,"▼【雪膚】セップ／ゆきはだ
雪のように白い肌。≒雪肌〈漢字ペディア〉","▼〔白皙〕ハクセキ
肌の色が白いこと。≒色白〈漢字ペディア〉"
H0640,2,【戦火】,類義語,"へいせん
かっきん
よえん",兵燹,"▼【戦火】センカ
1.戦争で引き起こされる火災。≒兵火
鉄砲などの火器を用いた戦争。〈漢字ペディア〉","▼〔兵燹〕ヘイセン
戦争により起こる火災。≒兵火、戦火〈漢字ペディア〉
★「燹」は、野火(ﾉﾋﾞ)の意。"
H0641,2,【戦兢】,類義語,"いく
けんごう
ぜんどう",畏懼,"▼【戦兢】センキョウ
「戦戦兢兢(ｾﾝｾﾝｷｮｳｷｮｳ:おそれつつしむさま。おそれてびくびくするさま。おっかなびっくり)」の略。〈日本国語大辞典〉","▼〔畏懼〕イク
勢いなどをおそれ、おののくこと。≒畏憚、恐懼〈漢字ペディア〉"
H0642,2,【遷謫】,類義語,"ほうへん
ざんる
とうき",竄流,"▼【遷謫】センタク
罪によって、官位を下げ辺鄙な地においやること。謫遷。しまながし。","▼〔竄流〕ザンル／ザンリュウ
遠い地に追放すること。島流しにすること。≒流竄〈漢字ペディア〉"
H0643,2,【素餐】,類義語,"せんきゅう
しろく
ぶっしょう","尸禄
尸祿","▼【素餐】ソサン
仕事もしないで、また功績や才能もないのに、高い地位について俸禄(ﾎｳﾛｸ)を受け取っていること。≒徒食、素食〈漢字ペディア〉","▼〔尸禄〕シロク
官職につき、職責をはたさないで給料を取ること。〈漢字ペディア〉"
